Reference area;Source type;Time;Value
Czechia;Labour inspectorate records;2015;28942
Czechia;Labour inspectorate records;2017;29415
Czechia;Labour inspectorate records;2018;22995
Czechia;Labour inspectorate records;2019;29454
Dominican Republic;Labour inspectorate records;2010;88804
Dominican Republic;Labour inspectorate records;2013;55304
Dominican Republic;Labour inspectorate records;2014;63283
Ecuador;Other administrative records and related sources;2011;13586
Ecuador;Other administrative records and related sources;2012;23896
El Salvador;Economic or establishment census;2010;25
El Salvador;Economic or establishment census;2011;23
El Salvador;Economic or establishment census;2012;41
El Salvador;Economic or establishment census;2014;36
El Salvador;Economic or establishment census;2015;27
El Salvador;Economic or establishment census;2016;28
El Salvador;Economic or establishment census;2017;31
El Salvador;Economic or establishment census;2018;33
Estonia;Labour inspectorate records;2010;4748
Estonia;Labour inspectorate records;2011;4344
Estonia;Labour inspectorate records;2012;3771
Estonia;Labour inspectorate records;2013;3563
Estonia;Labour inspectorate records;2014;3974
Estonia;Labour inspectorate records;2015;4246
Estonia;Labour inspectorate records;2017;5179
Estonia;Labour inspectorate records;2018;5128
Estonia;Labour inspectorate records;2019;4650
Eswatini;Labour inspectorate records;2017;2335
Finland;Labour inspectorate records;2011;22283
Finland;Labour inspectorate records;2012;22500
Finland;Other administrative records and related sources;2013;25600
Finland;Other administrative records and related sources;2014;24145
Finland;Other administrative records and related sources;2015;25861
Finland;Other administrative records and related sources;2017;25084
Finland;Labour inspectorate records;2018;23417
France;Other administrative records and related sources;2013;167600
France;Other administrative records and related sources;2014;119462
Georgia;Other administrative records and related sources;2010;52
Georgia;Other administrative records and related sources;2015;78
Georgia;Other administrative records and related sources;2019;1575
Germany;Insurance records;2010;927438
Germany;Insurance records;2011;937558
Germany;Insurance records;2013;842108
Germany;Insurance records;2015;805113
Germany;Insurance records;2016;763029
Germany;Insurance records;2018;694480
Hong Kong, China;Other administrative records and related sources;2010;140267
Hong Kong, China;Labour inspectorate records;2013;151912
Hong Kong, China;Labour inspectorate records;2014;146991
Hong Kong, China;Labour inspectorate records;2015;143037
Hungary;Labour inspectorate records;2010;25056
Hungary;Labour inspectorate records;2011;21931
Hungary;Labour inspectorate records;2012;19080
Hungary;Labour inspectorate records;2014;34989
Hungary;Labour inspectorate records;2015;31096
Hungary;Labour inspectorate records;2017;31944
Hungary;Labour inspectorate records;2018;30949
Ireland;Other administrative records and related sources;2010;7164
Ireland;Other administrative records and related sources;2011;5591
Ireland;Other administrative records and related sources;2012;4689
Ireland;Other administrative records and related sources;2013;5546
Ireland;Other administrative records and related sources;2014;5591
Ireland;Other administrative records and related sources;2015;5185
Ireland;Other administrative records and related sources;2017;4747
Ireland;Other administrative records and related sources;2018;5753
Ireland;Other administrative records and related sources;2019;4804
Isle of Man;Labour inspectorate records;2013;280
Israel;Labour inspectorate records;2010;1352
Israel;Labour inspectorate records;2011;1118
Israel;Labour inspectorate records;2012;1503
Israel;Labour inspectorate records;2013;2539
Israel;Labour inspectorate records;2014;3586
Israel;Labour inspectorate records;2015;3798
Israel;Labour inspectorate records;2017;16843
Israel;Labour inspectorate records;2018;2615
Israel;Labour inspectorate records;2019;17901
Jamaica;Other administrative records and related sources;2017;5548
Jamaica;Other administrative records and related sources;2018;4725
Japan;Labour inspectorate records;2010;174533
Japan;Labour inspectorate records;2011;175532
Japan;Labour inspectorate records;2013;178133
Japan;Labour inspectorate records;2014;166449
Japan;Labour inspectorate records;2015;169236
Japan;Labour inspectorate records;2018;170192
Japan;Labour inspectorate records;2019;167558
Korea, Republic of;Other administrative records and related sources;2010;35034
Korea, Republic of;Other administrative records and related sources;2013;22245
Korea, Republic of;Other administrative records and related sources;2014;24281
Korea, Republic of;Other administrative records and related sources;2015;29680
Korea, Republic of;Other administrative records and related sources;2017;22574
Korea, Republic of;Other administrative records and related sources;2018;34594
Korea, Republic of;Other administrative records and related sources;2019;25415
Lao People's Democratic Republic;Labour force survey;2010;1015
Latvia;Labour inspectorate records;2011;10378
Latvia;Labour inspectorate records;2012;9848
Latvia;Labour inspectorate records;2013;10817
Latvia;Labour inspectorate records;2018;10397
Latvia;Labour inspectorate records;2019;10320
Lithuania;Labour inspectorate records;2010;12411
Lithuania;Labour inspectorate records;2013;10069
Macau, China;Labour inspectorate records;2010;7249
Macau, China;Labour inspectorate records;2011;14002
Macau, China;Labour inspectorate records;2012;11540
Macau, China;Labour inspectorate records;2013;8038
Macau, China;Labour inspectorate records;2014;7902
Macau, China;Labour inspectorate records;2015;3919
Malaysia;Other administrative records and related sources;2010;60789
Malaysia;Other administrative records and related sources;2011;56269
Malaysia;Other administrative records and related sources;2012;44837
Malaysia;Other administrative records and related sources;2013;28883
Malaysia;Other administrative records and related sources;2014;43030
Malaysia;Other administrative records and related sources;2015;52787
Malaysia;Other administrative records and related sources;2016;47579
Malaysia;Other administrative records and related sources;2017;47144
Malaysia;Other administrative records and related sources;2018;47239
Malaysia;Other administrative records and related sources;2019;43764
Malta;Other administrative records and related sources;2010;1696
Malta;Other administrative records and related sources;2011;902
Malta;Other administrative records and related sources;2012;757
Mauritius;Records of workers' organizations;2011;920
Mauritius;Records of workers' organizations;2012;1713
Mauritius;Records of workers' organizations;2015;527
Mauritius;Records of workers' organizations;2018;1153
Mexico;Other administrative records and related sources;2010;49197
Mexico;Other administrative records and related sources;2011;58907
Mexico;Other administrative records and related sources;2012;88696
Mexico;Other administrative records and related sources;2013;120668
Mexico;Other administrative records and related sources;2014;139061
Mexico;Other administrative records and related sources;2015;128864
Mexico;Other administrative records and related sources;2016;115041
Mexico;Other administrative records and related sources;2017;116608
Mexico;Other administrative records and related sources;2018;122901
Moldova, Republic of;Labour inspectorate records;2010;6891
Moldova, Republic of;Labour inspectorate records;2013;6209
Moldova, Republic of;Labour inspectorate records;2014;6686
Moldova, Republic of;Labour inspectorate records;2015;6933
Moldova, Republic of;Labour inspectorate records;2016;4458
Moldova, Republic of;Labour inspectorate records;2017;3479
Moldova, Republic of;Labour inspectorate records;2018;2338
Moldova, Republic of;Labour inspectorate records;2019;1963
Mongolia;Official estimate;2013;631
Mongolia;Official estimate;2014;500
Mongolia;Official estimate;2015;1017
Mongolia;Official estimate;2016;1418
Mongolia;Official estimate;2017;2147
Mongolia;Official estimate;2018;1739
Mongolia;Official estimate;2019;1475
Morocco;Other administrative records and related sources;2010;24
Myanmar;Labour inspectorate records;2010;12073
Myanmar;Labour inspectorate records;2011;14358
Myanmar;Labour inspectorate records;2012;16906
Myanmar;Labour inspectorate records;2013;15757
Myanmar;Labour inspectorate records;2014;17493
Myanmar;Labour inspectorate records;2015;27869
Myanmar;Labour inspectorate records;2016;30635
Myanmar;Labour inspectorate records;2017;34444
Myanmar;Labour inspectorate records;2018;35119
Myanmar;Labour inspectorate records;2019;16929
New Zealand;Labour inspectorate records;2010;5812
New Zealand;Labour inspectorate records;2017;770
New Zealand;Labour inspectorate records;2018;680
New Zealand;Labour inspectorate records;2019;701
Nicaragua;Other administrative records and related sources;2010;8433
Nicaragua;Other administrative records and related sources;2013;10473
Niger;Establishment survey;2010;182
North Macedonia;Other administrative records and related sources;2018;11532
Norway;Labour inspectorate records;2010;14834
Norway;Labour inspectorate records;2011;14208
Norway;Labour inspectorate records;2012;15168
Norway;Labour inspectorate records;2013;15964
Norway;Labour inspectorate records;2018;10296
Norway;Labour inspectorate records;2019;9262
Occupied Palestinian Territory;Other administrative records and related sources;2013;4034
Occupied Palestinian Territory;Other administrative records and related sources;2015;5180
Occupied Palestinian Territory;Other administrative records and related sources;2017;9466
Panama;Labour inspectorate records;2010;19
Panama;Labour inspectorate records;2011;32
Panama;Labour inspectorate records;2012;42
Panama;Labour inspectorate records;2013;33
Panama;Labour inspectorate records;2014;25
Panama;Labour inspectorate records;2017;14
Panama;Labour inspectorate records;2018;16
Panama;Labour inspectorate records;2019;13
Paraguay;Other administrative records and related sources;2010;2103
Paraguay;Other administrative records and related sources;2011;1507
Paraguay;Other administrative records and related sources;2012;385
Paraguay;Other administrative records and related sources;2015;312
Peru;Other administrative records and related sources;2010;89
Peru;Other administrative records and related sources;2011;68
Peru;Other administrative records and related sources;2012;67
Peru;Other administrative records and related sources;2013;62136
Peru;Other administrative records and related sources;2014;59305
Peru;Other administrative records and related sources;2015;62780
Peru;Other administrative records and related sources;2017;61938
Peru;Other administrative records and related sources;2018;61938
Philippines;Labour inspectorate records;2010;35391
Philippines;Labour inspectorate records;2011;30727
Philippines;Labour inspectorate records;2012;27264
Philippines;Labour inspectorate records;2013;29248
Philippines;Labour inspectorate records;2014;67394
Philippines;Labour inspectorate records;2015;44524
Philippines;Labour inspectorate records;2018;59380
Philippines;Labour inspectorate records;2019;70298
Poland;Labour inspectorate records;2010;95273
Poland;Labour inspectorate records;2011;90609
Poland;Labour inspectorate records;2012;89949
Poland;Labour inspectorate records;2014;94021
Poland;Labour inspectorate records;2015;88308
Poland;Labour inspectorate records;2017;80784
Poland;Labour inspectorate records;2018;80194
Poland;Labour inspectorate records;2019;73341
Portugal;Labour inspectorate records;2010;84546
Portugal;Labour inspectorate records;2011;80159
Portugal;Labour inspectorate records;2012;54922
Portugal;Labour inspectorate records;2013;41546
Portugal;Labour inspectorate records;2015;40665
Portugal;Labour inspectorate records;2017;37482
Portugal;Labour inspectorate records;2018;38287
Qatar;Labour inspectorate records;2010;25575
Qatar;Labour inspectorate records;2011;42686
Qatar;Labour inspectorate records;2012;46624
Qatar;Labour inspectorate records;2013;50538
Qatar;Labour inspectorate records;2014;50994
Qatar;Labour inspectorate records;2015;57013
Qatar;Labour inspectorate records;2018;43366
Romania;Labour inspectorate records;2010;192065
Romania;Labour inspectorate records;2011;193382
Romania;Labour inspectorate records;2012;176870
Romania;Labour inspectorate records;2013;171793
Romania;Labour inspectorate records;2014;211135
Romania;Labour inspectorate records;2015;130003
Romania;Labour inspectorate records;2016;134790
Romania;Labour inspectorate records;2017;129631
Romania;Labour inspectorate records;2018;121645
Romania;Labour inspectorate records;2019;121273
Saint Vincent and the Grenadines;Insurance records;2010;71
San Marino;Official estimate;2015;3325
Saudi Arabia;Establishment survey;2016;240
Saudi Arabia;Establishment survey;2017;188
Saudi Arabia;Establishment survey;2018;389
Seychelles;Employment office records;2011;326
Seychelles;Employment office records;2012;1035
Seychelles;Employment office records;2015;898
Seychelles;Employment office records;2018;495
Singapore;Other administrative records and related sources;2010;6685
Singapore;Other administrative records and related sources;2011;12324
Singapore;Other administrative records and related sources;2012;17572
Singapore;Other administrative records and related sources;2013;24632
Singapore;Other administrative records and related sources;2014;20271
Singapore;Other administrative records and related sources;2015;23884
Singapore;Other administrative records and related sources;2016;23655
Singapore;Other administrative records and related sources;2017;23423
Singapore;Other administrative records and related sources;2018;23686
Singapore;Other administrative records and related sources;2019;22088
Slovakia;Labour inspectorate records;2010;42666
Slovakia;Labour inspectorate records;2011;78916
Slovakia;Labour inspectorate records;2012;72995
Slovakia;Labour inspectorate records;2013;97444
Slovakia;Labour inspectorate records;2015;65622
Slovakia;Labour inspectorate records;2017;57397
Slovakia;Labour inspectorate records;2018;68620
Slovakia;Labour inspectorate records;2019;71635
Slovenia;Labour inspectorate records;2010;17965
Slovenia;Labour inspectorate records;2011;17821
Slovenia;Labour inspectorate records;2012;16326
Slovenia;Labour inspectorate records;2014;17327
Slovenia;Labour inspectorate records;2015;15977
Slovenia;Labour inspectorate records;2016;14569
Slovenia;Labour inspectorate records;2017;14308
Slovenia;Labour inspectorate records;2018;12928
Slovenia;Labour inspectorate records;2019;13904
South Africa;Other administrative records and related sources;2010;192129
South Africa;Other administrative records and related sources;2011;172300
South Africa;Other administrative records and related sources;2012;101792
South Africa;Other administrative records and related sources;2013;101792
South Africa;Other administrative records and related sources;2014;180818
South Africa;Other administrative records and related sources;2015;186871
South Africa;Other administrative records and related sources;2016;185958
South Africa;Other administrative records and related sources;2017;214946
South Africa;Other administrative records and related sources;2018;218919
Spain;Labour inspectorate records;2011;356535
Spain;Labour inspectorate records;2012;364134
Spain;Labour inspectorate records;2013;344046
Spain;Labour inspectorate records;2014;327585
Spain;Labour inspectorate records;2015;305256
Sri Lanka;Labour inspectorate records;2011;87947
Sri Lanka;Labour inspectorate records;2012;90915
Sri Lanka;Labour inspectorate records;2013;83646
Sri Lanka;Labour inspectorate records;2014;76483
Sri Lanka;Labour inspectorate records;2017;53575
Sri Lanka;Labour inspectorate records;2018;83333
Sri Lanka;Labour inspectorate records;2019;87692
Sweden;Other administrative records and related sources;2013;31400
Sweden;Other administrative records and related sources;2014;26333
Sweden;Other administrative records and related sources;2017;21992
Sweden;Other administrative records and related sources;2018;27154
Switzerland;Labour inspectorate records;2011;38506
Switzerland;Labour inspectorate records;2012;38878
Switzerland;Labour inspectorate records;2013;40293
Switzerland;Labour inspectorate records;2014;40803
Switzerland;Labour inspectorate records;2015;41973
Switzerland;Labour inspectorate records;2016;34471
Switzerland;Labour inspectorate records;2017;34991
Switzerland;Labour inspectorate records;2018;35535
Switzerland;Labour inspectorate records;2019;36201
Thailand;Other administrative records and related sources;2015;835
Thailand;Other administrative records and related sources;2016;725
Thailand;Other administrative records and related sources;2017;12429
Thailand;Other administrative records and related sources;2018;12526
Thailand;Other administrative records and related sources;2019;783
Togo;Labour inspectorate records;2010;642
Trinidad and Tobago;Labour inspectorate records;2010;935
Trinidad and Tobago;Labour inspectorate records;2013;871
Trinidad and Tobago;Labour inspectorate records;2014;857
Turkey;Labour inspectorate records;2010;46969
Turkey;Labour inspectorate records;2011;15902
Turkey;Labour inspectorate records;2012;11533
Turkey;Labour inspectorate records;2013;23504
Turkey;Labour inspectorate records;2015;21304
Turkey;Labour inspectorate records;2017;18812
Turkey;Labour inspectorate records;2019;7298
Uganda;Other administrative records and related sources;2013;487
Ukraine;Other official source;2013;39478
Ukraine;Other official source;2014;21015
Ukraine;Other official source;2017;19971
Ukraine;Other official source;2018;24372
Ukraine;Other administrative records and related sources;2019;21991
United Kingdom;Insurance records;2011;21603
United Kingdom;Insurance records;2012;22240
United Kingdom;Insurance records;2013;23472
United Kingdom;Insurance records;2015;18204
United Kingdom;Insurance records;2016;19832
United Kingdom;Insurance records;2017;20574
United Kingdom;Insurance records;2018;18112
United Kingdom;Insurance records;2019;15847
United States;Labour inspectorate records;2011;22927
United States;Labour inspectorate records;2012;24716
United States;Labour inspectorate records;2013;24140
United States;Labour inspectorate records;2014;29483
United States;Labour inspectorate records;2015;27914
Uruguay;Official estimate;2010;54589
Uruguay;Official estimate;2013;20782
Uruguay;Official estimate;2018;16711
Uzbekistan;Labour inspectorate records;2018;1542
Uzbekistan;Labour inspectorate records;2019;2172
Venezuela, Bolivarian Republic of;Labour inspectorate records;2010;45005
Venezuela, Bolivarian Republic of;Labour inspectorate records;2011;25715
Venezuela, Bolivarian Republic of;Labour inspectorate records;2012;18874
Zimbabwe;Records of workers' organizations;2010;80
Zimbabwe;Records of workers' organizations;2011;366
Zimbabwe;Records of workers' organizations;2012;1411
Zimbabwe;Records of workers' organizations;2015;1700
Zimbabwe;Records of workers' organizations;2017;16887
