Reference area;Source type;Time;Value
Finland;Other administrative records and related sources;2014;240000
Finland;Other administrative records and related sources;2015;210655
Finland;Other administrative records and related sources;2017;293000
Finland;Labour inspectorate records;2018;301417
France;Other administrative records and related sources;2013;18000000
France;Other administrative records and related sources;2014;18000000
Georgia;Other administrative records and related sources;2015;150
Georgia;Other administrative records and related sources;2019;184
Hungary;Establishment or business register;2010;1741662
Hungary;Labour inspectorate records;2011;1789509
Hungary;Labour inspectorate records;2012;1806062
Hungary;Labour inspectorate records;2014;1845436
Hungary;Labour inspectorate records;2015;1837704
Hungary;Labour inspectorate records;2017;1870415
Hungary;Labour inspectorate records;2018;1908808
Ireland;Other administrative records and related sources;2010;165715
Ireland;Other administrative records and related sources;2011;170776
Ireland;Other administrative records and related sources;2012;170694
Ireland;Other administrative records and related sources;2013;170694
Ireland;Other administrative records and related sources;2014;167433
Ireland;Other administrative records and related sources;2015;180452
Ireland;Other administrative records and related sources;2017;191998
Ireland;Other administrative records and related sources;2018;176230
Ireland;Other administrative records and related sources;2019;180714
Isle of Man;Labour inspectorate records;2013;2500
Israel;Establishment or business register;2011;492952
Israel;Establishment or business register;2012;505258
Israel;Establishment or business register;2013;517401
Israel;Establishment or business register;2014;532612
Israel;Labour inspectorate records;2015;547591
Israel;Labour inspectorate records;2017;71637
Israel;Labour inspectorate records;2019;69000
Korea, Republic of;Other administrative records and related sources;2013;1752503
Korea, Republic of;Insurance records;2014;1863572
Korea, Republic of;Other administrative records and related sources;2017;1889567
Korea, Republic of;Other administrative records and related sources;2018;1950338
Korea, Republic of;Other administrative records and related sources;2019;2017707
Latvia;Labour inspectorate records;2018;124434
Lithuania;Labour inspectorate records;2010;1091965
Lithuania;Labour inspectorate records;2013;207701
Macau, China;Labour inspectorate records;2010;3251
Macau, China;Labour inspectorate records;2011;5256
Macau, China;Labour inspectorate records;2012;4578
Macau, China;Labour inspectorate records;2013;2830
Macau, China;Labour inspectorate records;2014;78670
Macau, China;Labour inspectorate records;2015;84915
Malaysia;Other administrative records and related sources;2010;129563
Malaysia;Other administrative records and related sources;2011;132602
Malaysia;Other administrative records and related sources;2012;140786
Malaysia;Other administrative records and related sources;2013;151563
Malaysia;Other administrative records and related sources;2014;166227
Malaysia;Other administrative records and related sources;2015;183118
Malaysia;Other administrative records and related sources;2016;189476
Malaysia;Other administrative records and related sources;2017;192196
Malaysia;Other administrative records and related sources;2018;217088
Malaysia;Other administrative records and related sources;2019;212652
Malta;Other administrative records and related sources;2010;48300
Mauritius;Records of workers' organizations;2011;3930
Mauritius;Records of workers' organizations;2012;4086
Mauritius;Records of workers' organizations;2015;6612
Mauritius;Records of workers' organizations;2018;9746
Mexico;Other administrative records and related sources;2010;102730
Mexico;Other administrative records and related sources;2011;122525
Mexico;Other administrative records and related sources;2012;280049
Mexico;Other administrative records and related sources;2013;298862
Mexico;Other administrative records and related sources;2014;320829
Mexico;Other administrative records and related sources;2015;362634
Mexico;Other administrative records and related sources;2016;395983
Mexico;Other administrative records and related sources;2017;416734
Mexico;Other administrative records and related sources;2018;435499
Moldova, Republic of;Labour inspectorate records;2013;766990
Moldova, Republic of;Labour inspectorate records;2014;733298
Moldova, Republic of;Labour inspectorate records;2015;698360
Moldova, Republic of;Labour inspectorate records;2016;697099
Moldova, Republic of;Labour inspectorate records;2017;701947
Moldova, Republic of;Labour inspectorate records;2018;797450
Moldova, Republic of;Labour inspectorate records;2019;807986
Mongolia;Official estimate;2013;64
Mongolia;Official estimate;2014;64
Mongolia;Official estimate;2015;65
Mongolia;Official estimate;2016;65
Mongolia;Official estimate;2017;66
Mongolia;Official estimate;2018;66
Morocco;Other administrative records and related sources;2010;65507
Myanmar;Labour inspectorate records;2010;15682
Myanmar;Labour inspectorate records;2011;17231
Myanmar;Labour inspectorate records;2012;17616
Myanmar;Labour inspectorate records;2013;17840
Myanmar;Labour inspectorate records;2014;19188
Myanmar;Labour inspectorate records;2015;15935
Myanmar;Labour inspectorate records;2016;19914
Myanmar;Labour inspectorate records;2017;23907
Myanmar;Labour inspectorate records;2018;24338
Myanmar;Labour inspectorate records;2019;24338
North Macedonia;Other administrative records and related sources;2018;9746
Norway;Labour inspectorate records;2010;195000
Norway;Labour inspectorate records;2011;194795
Norway;Labour inspectorate records;2012;195829
Norway;Labour inspectorate records;2013;201149
Norway;Labour inspectorate records;2018;250000
Norway;Labour inspectorate records;2019;250000
Occupied Palestinian Territory;Official estimate;2013;91203
Occupied Palestinian Territory;Official estimate;2015;135401
Occupied Palestinian Territory;Other administrative records and related sources;2017;7301
Panama;Labour inspectorate records;2010;11818
Panama;Labour inspectorate records;2011;21700
Panama;Labour inspectorate records;2012;19912
Panama;Labour inspectorate records;2013;24233
Panama;Labour inspectorate records;2014;26518
Panama;Labour inspectorate records;2017;20210
Panama;Labour inspectorate records;2018;19650
Paraguay;Other administrative records and related sources;2010;51256
Paraguay;Other administrative records and related sources;2011;56377
Paraguay;Other administrative records and related sources;2012;58641
Paraguay;Other administrative records and related sources;2015;71167
Peru;Other administrative records and related sources;2010;200637
Peru;Other administrative records and related sources;2011;222506
Peru;Other administrative records and related sources;2012;242912
Peru;Other administrative records and related sources;2013;253088
Peru;Other administrative records and related sources;2014;261781
Peru;Other administrative records and related sources;2015;273873
Philippines;Official estimate;2010;64765
Philippines;Official estimate;2011;73508
Philippines;Official estimate;2014;95305
Poland;Labour inspectorate records;2010;656500
Poland;Labour inspectorate records;2016;407
Poland;Labour inspectorate records;2018;752983
Poland;Labour inspectorate records;2019;764250
Portugal;Labour inspectorate records;2010;1168964
Portugal;Labour inspectorate records;2011;1086452
Portugal;Labour inspectorate records;2014;1127317
Portugal;Labour inspectorate records;2018;1242693
Qatar;Labour inspectorate records;2010;36131
Qatar;Labour inspectorate records;2011;38725
Qatar;Labour inspectorate records;2012;41288
Qatar;Labour inspectorate records;2013;44912
Qatar;Labour inspectorate records;2014;47295
Qatar;Labour inspectorate records;2015;54321
Qatar;Labour inspectorate records;2016;60432
Qatar;Labour inspectorate records;2017;70653
Qatar;Labour inspectorate records;2018;80913
Qatar;Labour inspectorate records;2019;80850
Romania;Labour inspectorate records;2010;392067
Romania;Other administrative records and related sources;2011;424620
Romania;Other administrative records and related sources;2012;453777
Romania;Other administrative records and related sources;2013;473026
Romania;Other administrative records and related sources;2015;527207
Romania;Labour inspectorate records;2016;1024186
Romania;Other administrative records and related sources;2018;589200
Romania;Other administrative records and related sources;2019;615648
Saint Vincent and the Grenadines;Insurance records;2010;1716
Seychelles;Employment office records;2011;3380
Seychelles;Employment office records;2012;5000
Singapore;Other administrative records and related sources;2010;28587
Singapore;Other administrative records and related sources;2011;31932
Singapore;Other administrative records and related sources;2012;33518
Singapore;Other administrative records and related sources;2013;34699
Singapore;Other administrative records and related sources;2014;35950
Singapore;Other administrative records and related sources;2015;36951
Singapore;Other administrative records and related sources;2016;38451
Singapore;Other administrative records and related sources;2017;39136
Singapore;Other administrative records and related sources;2018;41199
Singapore;Other administrative records and related sources;2019;42590
Slovakia;Labour inspectorate records;2010;695556
Slovakia;Labour inspectorate records;2011;612220
Slovakia;Labour inspectorate records;2012;610178
Slovakia;Labour inspectorate records;2013;637884
Slovakia;Labour inspectorate records;2017;597272
Slovakia;Labour inspectorate records;2018;596213
Slovakia;Labour inspectorate records;2019;631322
Slovenia;Labour inspectorate records;2010;11433
South Africa;Other administrative records and related sources;2010;192129
South Africa;Other administrative records and related sources;2011;172300
South Africa;Other administrative records and related sources;2012;101792
South Africa;Other administrative records and related sources;2013;87795
South Africa;Other administrative records and related sources;2014;165120
South Africa;Other administrative records and related sources;2015;149154
South Africa;Other administrative records and related sources;2016;175478
South Africa;Other administrative records and related sources;2017;217008
South Africa;Other administrative records and related sources;2018;218732
Spain;Labour inspectorate records;2011;1413597
Spain;Labour inspectorate records;2012;1374247
Spain;Labour inspectorate records;2013;1158338
Spain;Labour inspectorate records;2015;1286565
Sri Lanka;Labour inspectorate records;2015;504968
Sri Lanka;Labour inspectorate records;2018;141473
Sri Lanka;Labour inspectorate records;2019;147691
Sweden;Other administrative records and related sources;2013;380000
Sweden;Other administrative records and related sources;2014;385741
Sweden;Other administrative records and related sources;2017;409132
Sweden;Other administrative records and related sources;2018;421394
Switzerland;Other administrative records and related sources;2011;373
Switzerland;Other administrative records and related sources;2012;373
Switzerland;Other administrative records and related sources;2013;373
Switzerland;Other administrative records and related sources;2014;373
Switzerland;Other administrative records and related sources;2015;373
Switzerland;Other administrative records and related sources;2016;373
Switzerland;Other administrative records and related sources;2017;373
Switzerland;Other administrative records and related sources;2018;373
Switzerland;Other administrative records and related sources;2019;330
Thailand;Other administrative records and related sources;2015;44849
Thailand;Other administrative records and related sources;2016;40801
Thailand;Other administrative records and related sources;2017;41847
Thailand;Other administrative records and related sources;2018;42748
Thailand;Other administrative records and related sources;2019;33985
Togo;Other administrative records and related sources;2010;7225
Trinidad and Tobago;Establishment or business register;2010;29582
Trinidad and Tobago;Labour inspectorate records;2013;29497
Trinidad and Tobago;Establishment or business register;2014;26028
Turkey;Other administrative records and related sources;2010;1325749
Turkey;Insurance records;2011;1435879
Turkey;Insurance records;2012;1538006
Turkey;Other administrative records and related sources;2013;3689718
Turkey;Insurance records;2015;2001643
Turkey;Insurance records;2017;1783858
Turkey;Other administrative records and related sources;2019;1857215
Uganda;Other administrative records and related sources;2013;619
Ukraine;Other official source;2013;1372177
Ukraine;Other official source;2014;1331230
Ukraine;Other official source;2015;747485
Ukraine;Other official source;2017;2061387
Ukraine;Other official source;2018;1348098
Ukraine;Other administrative records and related sources;2019;1314721
United Kingdom;Establishment or business register;2011;2464
United Kingdom;Establishment or business register;2012;2528
United Kingdom;Establishment or business register;2013;2543
United Kingdom;Establishment or business register;2014;2639
United Kingdom;Establishment or business register;2017;3044
United Kingdom;Establishment or business register;2018;3045
United States;Labour inspectorate records;2011;7300000
United States;Labour inspectorate records;2012;7300000
United States;Labour inspectorate records;2013;7300000
United States;Labour inspectorate records;2014;7300000
United States;Labour inspectorate records;2015;7300000
Uruguay;Official estimate;2010;110000
Uruguay;Official estimate;2018;100412
Uzbekistan;Labour inspectorate records;2018;2573
Uzbekistan;Labour inspectorate records;2019;5210
Venezuela, Bolivarian Republic of;Labour inspectorate records;2011;335104
Venezuela, Bolivarian Republic of;Labour inspectorate records;2012;353669
