Reference area;Source type;Time;Value
Germany;Insurance records;2011;156,4
Germany;Insurance records;2013;139,8
Germany;Insurance records;2015;134
Germany;Insurance records;2016;130,1
Germany;Insurance records;2017;121
Germany;Insurance records;2018;120
Hong Kong, China;Other administrative records and related sources;2010;830
Hong Kong, China;Labour inspectorate records;2013;778
Hong Kong, China;Labour inspectorate records;2014;780
Hong Kong, China;Labour inspectorate records;2015;777
Hungary;Labour inspectorate records;2010;65,9
Hungary;Labour inspectorate records;2011;80,3
Hungary;Labour inspectorate records;2012;77,3
Hungary;Labour inspectorate records;2014;92,1
Hungary;Labour inspectorate records;2015;81,2
Hungary;Labour inspectorate records;2017;87
Hungary;Labour inspectorate records;2018;83
Ireland;Other administrative records and related sources;2010;108,6
Ireland;Other administrative records and related sources;2011;91,7
Ireland;Other administrative records and related sources;2012;80,8
Ireland;Other administrative records and related sources;2013;95,6
Ireland;Other administrative records and related sources;2014;180,4
Ireland;Other administrative records and related sources;2015;93
Ireland;Other administrative records and related sources;2017;85
Ireland;Other administrative records and related sources;2018;99,2
Ireland;Other administrative records and related sources;2019;87,4
Isle of Man;Labour inspectorate records;2013;70
Israel;Labour inspectorate records;2010;10,7
Israel;Labour inspectorate records;2011;7,6
Israel;Labour inspectorate records;2012;7
Israel;Labour inspectorate records;2013;9,2
Israel;Labour inspectorate records;2014;13
Israel;Labour inspectorate records;2015;13,7
Israel;Labour inspectorate records;2017;203
Israel;Labour inspectorate records;2018;324
Israel;Labour inspectorate records;2019;198
Japan;Labour inspectorate records;2010;62
Japan;Labour inspectorate records;2011;61,6
Japan;Labour inspectorate records;2013;61,9
Japan;Labour inspectorate records;2014;57,6
Japan;Labour inspectorate records;2015;58,3
Japan;Labour inspectorate records;2018;56,9
Japan;Labour inspectorate records;2019;55,6
Korea, Republic of;Other administrative records and related sources;2010;21,6
Korea, Republic of;Other administrative records and related sources;2013;20,6
Korea, Republic of;Other administrative records and related sources;2014;21,2
Korea, Republic of;Other administrative records and related sources;2015;26,5
Korea, Republic of;Other administrative records and related sources;2017;17,7
Korea, Republic of;Other administrative records and related sources;2018;18,3
Korea, Republic of;Other administrative records and related sources;2019;10,3
Lao People's Democratic Republic;Labour force survey;2010;5,4
Latvia;Labour inspectorate records;2011;93,5
Latvia;Labour inspectorate records;2012;87,9
Latvia;Labour inspectorate records;2013;101
Latvia;Labour inspectorate records;2018;96
Latvia;Labour inspectorate records;2019;95,2
Lithuania;Labour inspectorate records;2010;62,4
Lithuania;Labour inspectorate records;2013;52,2
Macau, China;Labour inspectorate records;2010;8,3
Macau, China;Labour inspectorate records;2011;122,8
Macau, China;Labour inspectorate records;2012;81,3
Macau, China;Labour inspectorate records;2013;60,4
Macau, China;Labour inspectorate records;2014;60,8
Macau, China;Labour inspectorate records;2015;37,3
Malaysia;Other administrative records and related sources;2010;136,9
Malaysia;Other administrative records and related sources;2011;134
Malaysia;Other administrative records and related sources;2012;111
Malaysia;Other administrative records and related sources;2013;62
Malaysia;Other administrative records and related sources;2014;86,1
Malaysia;Other administrative records and related sources;2015;115
Malaysia;Other administrative records and related sources;2016;111,7
Malaysia;Other administrative records and related sources;2017;107,4
Malaysia;Other administrative records and related sources;2018;106,4
Malaysia;Other administrative records and related sources;2019;98,1
Malta;Other administrative records and related sources;2010;424
Malta;Other administrative records and related sources;2011;300,7
Malta;Other administrative records and related sources;2012;151,4
Mauritius;Records of workers' organizations;2011;22,4
Mauritius;Records of workers' organizations;2012;40,8
Mauritius;Records of workers' organizations;2015;8,8
Mauritius;Records of workers' organizations;2018;8,9
Mexico;Other administrative records and related sources;2010;144,7
Mexico;Other administrative records and related sources;2011;166,4
Mexico;Other administrative records and related sources;2012;160,4
Mexico;Other administrative records and related sources;2013;142,8
Mexico;Other administrative records and related sources;2014;167,5
Mexico;Other administrative records and related sources;2015;161,1
Mexico;Other administrative records and related sources;2016;150,6
Mexico;Other administrative records and related sources;2017;156,5
Mexico;Other administrative records and related sources;2018;170
Moldova, Republic of;Labour inspectorate records;2010;74,1
Moldova, Republic of;Labour inspectorate records;2013;66,1
Moldova, Republic of;Labour inspectorate records;2014;76,9
Moldova, Republic of;Labour inspectorate records;2015;83,5
Moldova, Republic of;Labour inspectorate records;2016;58
Moldova, Republic of;Labour inspectorate records;2017;48
Moldova, Republic of;Labour inspectorate records;2018;38
Moldova, Republic of;Labour inspectorate records;2019;47
Mongolia;Official estimate;2013;9,9
Mongolia;Official estimate;2014;7,8
Mongolia;Official estimate;2015;15,7
Mongolia;Official estimate;2016;21,8
Mongolia;Official estimate;2017;32,5
Mongolia;Official estimate;2018;26,3
Mongolia;Official estimate;2019;17,8
Myanmar;Labour inspectorate records;2010;212
Myanmar;Labour inspectorate records;2011;236
Myanmar;Labour inspectorate records;2012;256
Myanmar;Labour inspectorate records;2013;225
Myanmar;Labour inspectorate records;2014;135
Myanmar;Labour inspectorate records;2015;151
Myanmar;Labour inspectorate records;2016;176
Myanmar;Labour inspectorate records;2017;207
Myanmar;Labour inspectorate records;2018;426
Myanmar;Labour inspectorate records;2019;278
New Zealand;Labour inspectorate records;2010;17,6
New Zealand;Labour inspectorate records;2011;18,4
New Zealand;Labour inspectorate records;2012;18,4
New Zealand;Labour inspectorate records;2017;7,8
New Zealand;Labour inspectorate records;2018;10,8
New Zealand;Labour inspectorate records;2019;11
Nicaragua;Other administrative records and related sources;2013;141,5
Niger;Establishment survey;2010;2,8
North Macedonia;Other administrative records and related sources;2018;89
Norway;Labour inspectorate records;2010;48,2
Norway;Labour inspectorate records;2011;39,5
Norway;Labour inspectorate records;2012;44
Norway;Labour inspectorate records;2013;47
Norway;Labour inspectorate records;2018;32,5
Norway;Labour inspectorate records;2019;31
Occupied Palestinian Territory;Other administrative records and related sources;2013;100,9
Occupied Palestinian Territory;Other administrative records and related sources;2015;103
Occupied Palestinian Territory;Other administrative records and related sources;2017;102
Panama;Labour inspectorate records;2010;0,2
Panama;Labour inspectorate records;2011;0,3
Panama;Labour inspectorate records;2012;0,4
Panama;Labour inspectorate records;2013;127
Panama;Labour inspectorate records;2014;185,8
Panama;Labour inspectorate records;2017;120,6
Panama;Labour inspectorate records;2018;144,2
Panama;Labour inspectorate records;2019;59,4
Paraguay;Other administrative records and related sources;2010;52,6
Paraguay;Other administrative records and related sources;2011;53,8
Paraguay;Other administrative records and related sources;2012;17,5
Paraguay;Other administrative records and related sources;2015;10,1
Peru;Other administrative records and related sources;2013;161
Peru;Other administrative records and related sources;2014;123
Peru;Other administrative records and related sources;2015;135,6
Peru;Other administrative records and related sources;2018;91,2
Philippines;Labour inspectorate records;2010;161,6
Philippines;Labour inspectorate records;2011;121
Philippines;Labour inspectorate records;2012;100,6
Philippines;Labour inspectorate records;2013;128,3
Philippines;Labour inspectorate records;2014;125
Philippines;Labour inspectorate records;2015;83
Philippines;Labour inspectorate records;2017;108,6
Philippines;Labour inspectorate records;2018;94
Philippines;Labour inspectorate records;2019;107,5
Poland;Labour inspectorate records;2010;63,1
Poland;Labour inspectorate records;2011;32,9
Poland;Labour inspectorate records;2012;32,6
Poland;Labour inspectorate records;2014;56,5
Poland;Labour inspectorate records;2015;55,4
Poland;Labour inspectorate records;2017;49
Poland;Labour inspectorate records;2018;53,7
Poland;Labour inspectorate records;2019;48
Portugal;Labour inspectorate records;2010;220,2
Portugal;Labour inspectorate records;2011;198,4
Portugal;Labour inspectorate records;2012;140,5
Portugal;Labour inspectorate records;2013;111,1
Portugal;Labour inspectorate records;2015;132,2
Portugal;Labour inspectorate records;2017;122
Portugal;Labour inspectorate records;2018;126
Qatar;Labour inspectorate records;2010;201,4
Qatar;Labour inspectorate records;2011;294,4
Qatar;Labour inspectorate records;2012;319,3
Qatar;Labour inspectorate records;2013;335
Qatar;Labour inspectorate records;2014;172,3
Qatar;Labour inspectorate records;2015;193
Qatar;Labour inspectorate records;2016;210
Qatar;Labour inspectorate records;2017;250
Qatar;Labour inspectorate records;2018;160,6
Qatar;Labour inspectorate records;2019;190
Romania;Labour inspectorate records;2010;98,6
Romania;Labour inspectorate records;2011;100,6
Romania;Labour inspectorate records;2012;99,1
Romania;Labour inspectorate records;2013;168
Romania;Labour inspectorate records;2014;230,3
Romania;Labour inspectorate records;2015;111,4
Romania;Labour inspectorate records;2016;121,2
Romania;Labour inspectorate records;2017;117,1
Romania;Labour inspectorate records;2018;113,3
Romania;Labour inspectorate records;2019;112,7
Saint Vincent and the Grenadines;Insurance records;2010;11,8
Saudi Arabia;Establishment survey;2016;300
Saudi Arabia;Establishment survey;2017;257
Saudi Arabia;Establishment survey;2018;442
Seychelles;Employment office records;2011;54,3
Seychelles;Employment office records;2012;172,5
Seychelles;Employment office records;2018;35
Singapore;Other administrative records and related sources;2010;57
Singapore;Other administrative records and related sources;2011;100
Singapore;Other administrative records and related sources;2012;127
Singapore;Other administrative records and related sources;2013;132
Singapore;Other administrative records and related sources;2014;104
Singapore;Other administrative records and related sources;2015;122
Singapore;Other administrative records and related sources;2016;125
Singapore;Other administrative records and related sources;2017;122
Singapore;Other administrative records and related sources;2018;119
Singapore;Other administrative records and related sources;2019;104
Slovakia;Labour inspectorate records;2010;133,8
Slovakia;Labour inspectorate records;2011;263,9
Slovakia;Labour inspectorate records;2012;245
Slovakia;Labour inspectorate records;2013;295,3
Slovakia;Labour inspectorate records;2015;206,4
Slovakia;Labour inspectorate records;2017;172
Slovakia;Labour inspectorate records;2018;214
Slovenia;Labour inspectorate records;2010;224,6
Slovenia;Labour inspectorate records;2011;212,2
Slovenia;Labour inspectorate records;2012;212
Slovenia;Labour inspectorate records;2013;185,5
Slovenia;Labour inspectorate records;2014;225
Slovenia;Labour inspectorate records;2015;218,9
Slovenia;Labour inspectorate records;2016;199,6
Slovenia;Labour inspectorate records;2017;198,7
Slovenia;Labour inspectorate records;2018;170,1
Slovenia;Labour inspectorate records;2019;163,6
South Africa;Other administrative records and related sources;2010;145,7
South Africa;Other administrative records and related sources;2013;81,3
South Africa;Other administrative records and related sources;2014;132
South Africa;Other administrative records and related sources;2015;182
South Africa;Other administrative records and related sources;2016;142
South Africa;Other administrative records and related sources;2017;166,1
South Africa;Other administrative records and related sources;2018;140
Spain;Labour inspectorate records;2011;191,2
Spain;Labour inspectorate records;2012;193,8
Spain;Labour inspectorate records;2013;186,6
Spain;Labour inspectorate records;2014;180,4
Spain;Labour inspectorate records;2015;170,9
Sri Lanka;Labour inspectorate records;2011;183,2
Sri Lanka;Labour inspectorate records;2012;195,9
Sri Lanka;Labour inspectorate records;2013;180
Sri Lanka;Labour inspectorate records;2014;171,1
Sri Lanka;Labour inspectorate records;2017;13
Sri Lanka;Labour inspectorate records;2018;17
Sri Lanka;Labour inspectorate records;2019;18
Sweden;Other administrative records and related sources;2013;135
Sweden;Other administrative records and related sources;2014;110
Sweden;Other administrative records and related sources;2017;73,6
Sweden;Other administrative records and related sources;2018;91
Switzerland;Labour inspectorate records;2011;67,8
Switzerland;Labour inspectorate records;2012;66,9
Switzerland;Labour inspectorate records;2013;68,3
Switzerland;Labour inspectorate records;2014;68,1
Switzerland;Labour inspectorate records;2015;70,7
Switzerland;Labour inspectorate records;2016;61
Switzerland;Labour inspectorate records;2017;62,7
Switzerland;Labour inspectorate records;2018;64,1
Switzerland;Labour inspectorate records;2019;60,8
Thailand;Other administrative records and related sources;2015;1,1
Thailand;Other administrative records and related sources;2016;1
Thailand;Other administrative records and related sources;2017;17,8
Thailand;Other administrative records and related sources;2018;37
Thailand;Other administrative records and related sources;2019;1
Trinidad and Tobago;Labour inspectorate records;2013;79
Trinidad and Tobago;Labour inspectorate records;2014;71
Turkey;Labour inspectorate records;2010;72,4
Turkey;Labour inspectorate records;2011;17,7
Turkey;Labour inspectorate records;2012;12
Turkey;Labour inspectorate records;2013;32,9
Turkey;Labour inspectorate records;2015;25
Turkey;Labour inspectorate records;2017;24,9
Turkey;Labour inspectorate records;2019;10,5
Ukraine;Other official source;2013;69
Ukraine;Other official source;2014;36,1
Ukraine;Other official source;2015;16,3
Ukraine;Other official source;2017;25
Ukraine;Other official source;2018;22
Ukraine;Other administrative records and related sources;2019;2,4
United Kingdom;Insurance records;2011;14,9
United Kingdom;Insurance records;2012;15,5
United Kingdom;Insurance records;2013;61
United Kingdom;Insurance records;2015;57
United Kingdom;Insurance records;2016;66
United Kingdom;Insurance records;2017;70
United Kingdom;Insurance records;2018;62
United Kingdom;Insurance records;2019;52
United States;Labour inspectorate records;2011;22,4
United States;Labour inspectorate records;2012;23,2
United States;Labour inspectorate records;2015;28
Uruguay;Other administrative records and related sources;2013;166
Uruguay;Other administrative records and related sources;2018;162
Uzbekistan;Labour inspectorate records;2018;50
Uzbekistan;Labour inspectorate records;2019;70
Venezuela, Bolivarian Republic of;Labour inspectorate records;2010;81,5
Venezuela, Bolivarian Republic of;Labour inspectorate records;2011;143,7
Venezuela, Bolivarian Republic of;Labour inspectorate records;2012;112,4
Zimbabwe;Records of workers' organizations;2010;1
Zimbabwe;Records of workers' organizations;2011;5
Zimbabwe;Records of workers' organizations;2012;16,8
Zimbabwe;Records of workers' organizations;2015;15
Zimbabwe;Records of workers' organizations;2017;8,2
Zimbabwe;Records of workers' organizations;2019;7,6
