ref_area,indicator,source,sex,classif1,classif2,time,obs_value,obs_status,note_indicator,note_source
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2011,340826,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2011,85995,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2011,4525,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2011,81470,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2012,438470,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2012,42697,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2012,395773,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2012,355969,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2012,37692,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2012,318277,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2012,82500,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2012,5005,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2012,77495,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2014,421080,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2014,44063,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2014,377015,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2014,337186,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2014,39156,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2014,298028,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2014,83894,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2014,4907,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2014,78987,,T13:149_T14:154_I2:1681_I3:1186,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2015,417325,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2015,46502,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2015,370823,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2015,320452,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2015,39585,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2015,280867,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2015,79037,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2015,5217,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2015,73820,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2016,384139,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2016,48110,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2016,336029,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2016,291945,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2016,40874,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2016,251071,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2016,76238,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2016,5474,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2016,70764,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2017,369368,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_MIGRANT,2017,17089,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_NONMIG,2017,337109,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2017,47279,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_MIGRANT,2017,1947,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_NONMIG,2017,43633,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2017,322089,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_MIGRANT,2017,15142,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_NONMIG,2017,293476,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2017,281034,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_MIGRANT,2017,14026,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_NONMIG,2017,267005,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2017,40191,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_MIGRANT,2017,1726,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_NONMIG,2017,38465,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2017,240840,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_MIGRANT,2017,12300,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_NONMIG,2017,228540,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2017,73167,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_MIGRANT,2017,3063,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_NONMIG,2017,70104,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2017,5389,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_MIGRANT,2017,221,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_NONMIG,2017,5168,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2017,67778,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_MIGRANT,2017,2842,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_NONMIG,2017,64936,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2018,351557,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_MIGRANT,2018,17171,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_NONMIG,2018,320823,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2018,49371,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_MIGRANT,2018,2257,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_NONMIG,2018,45462,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2018,302186,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_MIGRANT,2018,14914,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_NONMIG,2018,275361,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2018,268319,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_MIGRANT,2018,14103,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_NONMIG,2018,254213,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2018,41999,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_MIGRANT,2018,2023,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_NONMIG,2018,39976,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2018,226317,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_MIGRANT,2018,12080,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_M,INJ_INCAPACITY_TMP,MIG_STATUS_NONMIG,2018,214237,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2018,69678,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_MIGRANT,2018,3068,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_NONMIG,2018,66610,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2018,5720,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_MIGRANT,2018,234,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_NONMIG,2018,5486,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2018,63958,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_MIGRANT,2018,2834,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_SEX_INJ_MIG_NB,FX:154,SEX_F,INJ_INCAPACITY_TMP,MIG_STATUS_NONMIG,2018,61124,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2009,16,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2009,16,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2009,14,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2009,14,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2009,2,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2009,2,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2010,13,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2010,13,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2010,12,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2010,12,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_F,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2010,1,,T13:149_T14:153,S9:66
ARM,INJ_NFTL_SEX_INJ_MIG_NB,FF:172,SEX_F,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2010,1,,T13:149_T14:153,S9:66
AUS,INJ_NFTL_SEX_INJ_MIG_NB,FA:775,SEX_T,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2009,97480,,T13:150_T14:154_I2:1510_I3:3745,S3:26
AUS,INJ_NFTL_SEX_INJ_MIG_NB,FA:775,SEX_T,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2009,13315,,T13:150_T14:154_I2:1510_I3:3745,S3:26
AUS,INJ_NFTL_SEX_INJ_MIG_NB,FA:775,SEX_T,INJ_INCAPACITY_TMP,MIG_STATUS_TOTAL,2009,84170,,T13:150_T14:154_I2:1510_I3:3745,S3:26
AUS,INJ_NFTL_SEX_INJ_MIG_NB,FA:775,SEX_M,INJ_INCAPACITY_TOTAL,MIG_STATUS_TOTAL,2009,65835,,T13:150_T14:154_I2:1510_I3:3745,S3:26
AUS,INJ_NFTL_SEX_INJ_MIG_NB,FA:775,SEX_M,INJ_INCAPACITY_PRM,MIG_STATUS_TOTAL,2009,9715,,T13:150_T14:154_I2:1510_I3:3745,S3:26
