ref_area,indicator,source,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_B,1999,3,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_C,1999,2,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_D,1999,172,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_E,1999,73,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_F,1999,300,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_G,1999,240,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_H,1999,240,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_I,1999,120,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_J,1999,14,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_K,1999,43,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_N,1999,62,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_O,1999,127,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_ISIC3_X,1999,0,,,T13:149,
ANT,INJ_NFTL_INJ_ECO_NB,FA:854,INJ_INCAPACITY_TMP,ECO_AGGREGATE_TOTAL,1999,1420,,,T13:149,
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_TOTAL,2002,278634,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_1,2002,23335,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_2,2002,1360,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_3,2002,68093,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_4,2002,3449,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_5,2002,14816,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_6,2002,43171,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_7,2002,28147,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_8,2002,20588,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_9,2002,75373,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_0,2002,302,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_TOTAL,2002,16475,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_1,2002,1536,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_2,2002,81,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_3,2002,4397,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_4,2002,180,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_5,2002,970,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_6,2002,2298,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_7,2002,2021,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_8,2002,1258,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_9,2002,3716,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_0,2002,18,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_TOTAL,2002,262159,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_1,2002,21799,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_2,2002,1279,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_3,2002,63696,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_4,2002,3269,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_5,2002,13846,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_6,2002,40873,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_7,2002,26126,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_8,2002,19330,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_9,2002,71657,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_0,2002,284,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_AGGREGATE_TOTAL,2002,278634,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_AGGREGATE_TOTAL,2002,16475,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_AGGREGATE_TOTAL,2002,262159,,,T13:149_I11:266,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_TOTAL,2003,342889,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_1,2003,28154,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_2,2003,1746,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_3,2003,89952,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_4,2003,3527,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_5,2003,24697,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_6,2003,50814,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_7,2003,30900,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_8,2003,25718,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_9,2003,86836,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_0,2003,302,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_TOTAL,2003,21625,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_1,2003,1956,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_2,2003,113,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_3,2003,6975,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_4,2003,235,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_5,2003,1412,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_6,2003,2657,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_7,2003,2359,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_8,2003,1548,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_9,2003,4330,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_0,2003,11,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_TOTAL,2003,321264,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_1,2003,26198,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_2,2003,1633,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_3,2003,82977,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_4,2003,3292,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_5,2003,23285,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_6,2003,48157,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_7,2003,28541,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_8,2003,24170,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_9,2003,82506,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_0,2003,291,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_AGGREGATE_TOTAL,2003,342889,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_AGGREGATE_TOTAL,2003,21625,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_AGGREGATE_TOTAL,2003,321264,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_TOTAL,2004,429428,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_1,2004,34033,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_2,2004,2156,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_3,2004,113128,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_4,2004,3563,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_5,2004,40424,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_6,2004,63250,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_7,2004,34718,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_8,2004,34106,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_9,2004,103712,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TOTAL,ECO_ISIC2_0,2004,338,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_TOTAL,2004,27731,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_1,2004,2594,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_2,2004,132,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_3,2004,8722,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_4,2004,269,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_5,2004,2386,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_6,2004,3267,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_7,2004,2485,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_8,2004,1702,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_9,2004,6143,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_PRM,ECO_ISIC2_0,2004,31,,,T13:149,S3:26
ARG,INJ_NFTL_INJ_ECO_NB,FA:865,INJ_INCAPACITY_TMP,ECO_ISIC2_TOTAL,2004,401697,,,T13:149,S3:26
