Reference area;Source type;Sex;Time;Total;Migrants;Non migrants;EU Migrants;Migrants excluding EU;Unknown
Australia;Other administrative records and related sources;Male;2015;186;;;;;
Australia;Other administrative records and related sources;Female;2015;8;;;;;
Austria;Insurance records;Total;2010;183;;161;9;13;
Austria;Insurance records;Male;2010;174;;154;7;13;
Austria;Insurance records;Female;2010;9;;7;2;0;
Austria;Insurance records;Total;2011;118;;105;5;8;
Austria;Insurance records;Male;2011;112;;101;5;6;
Austria;Insurance records;Female;2011;6;;4;0;2;
Austria;Insurance records;Total;2012;144;;125;9;10;
Austria;Insurance records;Male;2012;132;;113;9;10;
Austria;Insurance records;Female;2012;12;;12;0;0;
Austria;Insurance records;Total;2013;144;;120;16;8;
Austria;Insurance records;Male;2013;135;;113;14;8;
Austria;Insurance records;Female;2013;9;;7;2;0;
Austria;Insurance records;Total;2014;127;;108;14;5;
Austria;Insurance records;Male;2014;114;;97;12;5;
Austria;Insurance records;Female;2014;13;;11;2;0;
Austria;Insurance records;Total;2015;134;;119;13;2;
Austria;Insurance records;Male;2015;124;;109;13;2;
Austria;Insurance records;Female;2015;10;;10;0;0;
Austria;Insurance records;Total;2016;59;;;;;
Austria;Insurance records;Male;2016;57;;;;;
Austria;Insurance records;Female;2016;2;;;;;
Azerbaijan;Establishment survey;Total;2011;87;;;;;
Azerbaijan;Establishment survey;Male;2011;84;;;;;
Azerbaijan;Establishment survey;Female;2011;3;;;;;
Azerbaijan;Establishment survey;Total;2012;79;;;;;
Azerbaijan;Establishment survey;Male;2012;74;;;;;
Azerbaijan;Establishment survey;Female;2012;5;;;;;
Azerbaijan;Labour inspectorate records;Total;2013;66;;;;;
Azerbaijan;Labour inspectorate records;Male;2013;62;;;;;
Azerbaijan;Labour inspectorate records;Female;2013;4;;;;;
Azerbaijan;Labour inspectorate records;Total;2014;88;;;;;
Azerbaijan;Labour inspectorate records;Male;2014;84;;;;;
Azerbaijan;Labour inspectorate records;Female;2014;4;;;;;
Azerbaijan;Labour inspectorate records;Total;2015;50;;;;;
Azerbaijan;Labour inspectorate records;Male;2015;45;;;;;
Azerbaijan;Labour inspectorate records;Female;2015;5;;;;;
Azerbaijan;Labour inspectorate records;Total;2016;65;;;;;
Azerbaijan;Labour inspectorate records;Male;2016;58;;;;;
Azerbaijan;Labour inspectorate records;Female;2016;7;;;;;
Azerbaijan;Labour inspectorate records;Total;2017;60;;;;;
Azerbaijan;Labour inspectorate records;Male;2017;57;;;;;
Azerbaijan;Labour inspectorate records;Female;2017;3;;;;;
Azerbaijan;Labour inspectorate records;Total;2018;53;;;;;
Azerbaijan;Labour inspectorate records;Male;2018;47;;;;;
Azerbaijan;Labour inspectorate records;Female;2018;6;;;;;
Azerbaijan;Labour inspectorate records;Total;2019;63;;;;;
Azerbaijan;Labour inspectorate records;Male;2019;51;;;;;
Azerbaijan;Labour inspectorate records;Female;2019;12;;;;;
Barbados;Labour inspectorate records;Total;2013;0;;;;;
Barbados;Labour inspectorate records;Total;2014;2;;;;;
Barbados;Labour inspectorate records;Total;2015;4;;;;;
Belarus;Establishment survey;Total;2010;198;;;;;
Belarus;Establishment survey;Male;2010;189;;;;;
Belarus;Establishment survey;Female;2010;9;;;;;
Belarus;Establishment survey;Total;2011;169;;;;;
Belarus;Establishment survey;Male;2011;158;;;;;
Belarus;Establishment survey;Female;2011;11;;;;;
Belarus;Establishment survey;Total;2012;147;;;;;
Belarus;Establishment survey;Male;2012;143;;;;;
Belarus;Establishment survey;Female;2012;4;;;;;
Belarus;Establishment survey;Total;2013;141;;;;;
Belarus;Establishment survey;Male;2013;127;;;;;
Belarus;Establishment survey;Female;2013;14;;;;;
Belarus;Establishment survey;Total;2014;107;;;;;
Belarus;Establishment survey;Male;2014;98;;;;;
Belarus;Establishment survey;Female;2014;9;;;;;
Belarus;Establishment survey;Total;2015;72;;;;;
Belarus;Establishment survey;Male;2015;71;;;;;
Belarus;Establishment survey;Female;2015;1;;;;;
Belarus;Establishment survey;Total;2016;78;;;;;
Belarus;Establishment survey;Male;2016;70;;;;;
Belarus;Establishment survey;Female;2016;8;;;;;
Belarus;Establishment survey;Total;2017;76;;;;;
Belarus;Establishment survey;Total;2018;95;;;;;
Belarus;Establishment survey;Male;2018;88;;;;;
Belarus;Establishment survey;Female;2018;7;;;;;
Belarus;Establishment survey;Total;2019;95;;;;;
Belarus;Establishment survey;Male;2019;86;;;;;
Belarus;Establishment survey;Female;2019;9;;;;;
Belgium;Insurance records;Total;2010;73;;67;4;2;
Belgium;Insurance records;Male;2010;68;;62;4;2;
Belgium;Insurance records;Female;2010;5;;5;0;0;
Belgium;Insurance records;Total;2011;77;;59;11;5;2
Belgium;Insurance records;Male;2011;75;;57;11;5;2
Belgium;Insurance records;Female;2011;2;;2;0;0;
Belgium;Insurance records;Total;2012;49;;39;6;4;
Belgium;Insurance records;Male;2012;49;;39;6;4;
Belgium;Insurance records;Female;2012;0;;0;0;0;
Belgium;Insurance records;Total;2013;66;;56;6;2;2
Belgium;Insurance records;Male;2013;64;;54;6;2;2
Belgium;Insurance records;Female;2013;2;;2;0;0;
Belgium;Insurance records;Total;2014;53;;41;8;4;
Belgium;Insurance records;Male;2014;51;;39;8;4;
Belgium;Insurance records;Female;2014;2;;2;0;0;
Belgium;Insurance records;Total;2015;74;;67;2;5;
Belgium;Insurance records;Male;2015;72;;65;2;5;
Belgium;Insurance records;Female;2015;2;;2;0;0;
Belgium;Insurance records;Total;2016;71;13;58;;;
Belgium;Insurance records;Male;2016;66;13;53;;;
Belgium;Insurance records;Female;2016;5;0;5;;;
Belize;Establishment or business register;Total;2010;123;;;;;
Belize;Establishment or business register;Male;2010;117;;;;;
Belize;Establishment or business register;Female;2010;6;;;;;
Belize;Establishment or business register;Total;2011;4;;;;;
Belize;Establishment or business register;Male;2011;4;;;;;
Belize;Establishment or business register;Female;2011;0;;;;;
Belize;Establishment or business register;Total;2012;6;;;;;
Belize;Establishment or business register;Male;2012;6;;;;;
Belize;Establishment or business register;Female;2012;0;;;;;
Botswana;Labour inspectorate records;Total;2010;25;;;;;
Botswana;Labour inspectorate records;Male;2010;25;;;;;
Botswana;Labour inspectorate records;Female;2010;0;;;;;
Botswana;Labour inspectorate records;Total;2011;24;;;;;
Botswana;Labour inspectorate records;Male;2011;22;;;;;
Botswana;Labour inspectorate records;Female;2011;2;;;;;
Brazil;Insurance records;Total;2011;2938;;;;;
Brazil;Insurance records;Male;2011;2749;;;;;
Brazil;Insurance records;Female;2011;189;;;;;
Brazil;Insurance records;Total;2012;2561;;;;;
Brazil;Insurance records;Total;2013;2675;;;;;
Brazil;Insurance records;Total;2014;2660;;;;;
Brazil;Insurance records;Total;2015;2387;;;;;
Brazil;Insurance records;Total;2016;2156;;;;;
Bulgaria;Insurance records;Total;2010;92;;90;0;2;
Bulgaria;Insurance records;Male;2010;83;;81;0;2;
Bulgaria;Insurance records;Female;2010;9;;9;0;0;
Bulgaria;Insurance records;Total;2011;94;;94;0;0;
Bulgaria;Insurance records;Male;2011;90;;90;0;0;
Bulgaria;Insurance records;Female;2011;4;;4;0;0;
Bulgaria;Insurance records;Total;2012;98;;98;0;0;
Bulgaria;Insurance records;Male;2012;90;;90;0;0;
Bulgaria;Insurance records;Female;2012;8;;8;0;0;
Bulgaria;Insurance records;Total;2013;88;;86;2;0;
Bulgaria;Insurance records;Male;2013;80;;78;2;0;
Bulgaria;Insurance records;Female;2013;8;;8;0;0;
Bulgaria;Insurance records;Total;2014;117;;117;0;0;
Bulgaria;Insurance records;Male;2014;111;;111;0;0;
Bulgaria;Insurance records;Female;2014;6;;6;0;0;
Bulgaria;Insurance records;Total;2015;95;;95;0;0;
Bulgaria;Insurance records;Male;2015;88;;88;0;0;
Bulgaria;Insurance records;Female;2015;7;;7;0;0;
Canada;Records of employers' organizations;Total;2010;381;;;;;
Canada;Records of employers' organizations;Male;2010;360;;;;;
Canada;Records of employers' organizations;Female;2010;21;;;;;
Canada;Records of employers' organizations;Total;2011;361;;;;;
Canada;Records of employers' organizations;Male;2011;336;;;;;
Canada;Records of employers' organizations;Female;2011;23;;;;;
Canada;Records of employers' organizations;Total;2013;362;;;;;
Canada;Records of employers' organizations;Male;2013;328;;;;;
Canada;Records of employers' organizations;Female;2013;34;;;;;
Canada;Records of employers' organizations;Total;2014;353;;;;;
Canada;Records of employers' organizations;Male;2014;331;;;;;
Canada;Records of employers' organizations;Female;2014;22;;;;;
Chile;Other administrative records and related sources;Total;2011;282;;;;;
Chile;Other administrative records and related sources;Male;2011;275;;;;;
Chile;Other administrative records and related sources;Female;2011;7;;;;;
Chile;Other administrative records and related sources;Total;2012;322;;;;;
Chile;Other administrative records and related sources;Male;2012;314;;;;;
Chile;Other administrative records and related sources;Female;2012;8;;;;;
Chile;Other administrative records and related sources;Total;2013;283;;;;;
Chile;Other administrative records and related sources;Male;2013;276;;;;;
Chile;Other administrative records and related sources;Female;2013;7;;;;;
Chile;Other administrative records and related sources;Total;2017;172;;;;;
Chile;Other administrative records and related sources;Male;2017;165;;;;;
Chile;Other administrative records and related sources;Female;2017;7;;;;;
Chile;Other administrative records and related sources;Total;2018;160;;;;;
Chile;Other administrative records and related sources;Male;2018;149;;;;;
Chile;Other administrative records and related sources;Female;2018;11;;;;;
Colombia;Other administrative records and related sources;Total;2011;692;;;;;
Colombia;Other administrative records and related sources;Total;2012;676;;;;;
Colombia;Other administrative records and related sources;Total;2013;926;;;;;
Colombia;Other administrative records and related sources;Total;2014;777;;;;;
Colombia;Other administrative records and related sources;Total;2015;1742;;;;;
Costa Rica;Insurance records;Total;2010;95;;;;;
Costa Rica;Insurance records;Total;2011;104;;;;;
Costa Rica;Insurance records;Total;2012;97;;;;;
Costa Rica;Insurance records;Total;2013;94;;;;;
Costa Rica;Insurance records;Total;2014;75;;;;;
Costa Rica;Insurance records;Total;2015;80;;;;;
Costa Rica;Insurance records;Total;2016;126;;;;;
Croatia;Insurance records;Total;2010;38;;;;;
Croatia;Insurance records;Male;2010;38;;;;;
Croatia;Insurance records;Female;2010;0;;;;;
Croatia;Insurance records;Total;2012;54;;54;0;0;
Croatia;Insurance records;Male;2012;54;;54;0;0;
Croatia;Insurance records;Female;2012;0;;0;0;0;
Croatia;Insurance records;Total;2013;29;;29;0;0;
Croatia;Insurance records;Male;2013;27;;27;0;0;
Croatia;Insurance records;Female;2013;2;;2;0;0;
Croatia;Insurance records;Total;2014;27;;27;0;0;
Croatia;Insurance records;Male;2014;25;;25;0;0;
Croatia;Insurance records;Female;2014;2;;2;0;0;
Croatia;Insurance records;Total;2015;31;;31;0;0;
Croatia;Insurance records;Male;2015;29;;29;0;0;
Croatia;Insurance records;Female;2015;2;;2;0;0;
Croatia;Insurance records;Total;2016;39;0;39;;;
Croatia;Insurance records;Male;2016;36;0;36;;;
Croatia;Insurance records;Female;2016;3;0;3;;;
Cuba;Other administrative records and related sources;Total;2010;88;;;;;
Cyprus;Labour inspectorate records;Total;2010;19;;9;2;8;
Cyprus;Labour inspectorate records;Male;2010;19;;9;2;8;
Cyprus;Labour inspectorate records;Female;2010;0;;0;0;0;
Cyprus;Labour inspectorate records;Total;2011;6;;2;2;2;
Cyprus;Labour inspectorate records;Male;2011;6;;2;2;2;
Cyprus;Labour inspectorate records;Female;2011;0;;0;0;0;
Cyprus;Labour inspectorate records;Total;2012;10;;4;2;4;
Cyprus;Labour inspectorate records;Male;2012;8;;4;2;2;
Cyprus;Labour inspectorate records;Female;2012;2;;0;0;2;
Cyprus;Labour inspectorate records;Total;2013;11;;7;0;4;
Cyprus;Labour inspectorate records;Male;2013;9;;7;0;2;
Cyprus;Labour inspectorate records;Female;2013;2;;0;0;2;
Cyprus;Labour inspectorate records;Total;2014;6;;2;2;2;
Cyprus;Labour inspectorate records;Male;2014;6;;2;2;2;
Cyprus;Labour inspectorate records;Female;2014;0;;0;0;0;
Cyprus;Labour inspectorate records;Total;2015;6;;2;4;0;
Cyprus;Labour inspectorate records;Male;2015;4;;2;2;0;
Cyprus;Labour inspectorate records;Female;2015;2;;0;2;0;
Czechia;Labour inspectorate records;Total;2010;121;;107;8;6;
Czechia;Labour inspectorate records;Male;2010;110;;96;8;6;
Czechia;Labour inspectorate records;Female;2010;11;;11;0;0;
Czechia;Labour inspectorate records;Total;2011;150;;138;5;7;
Czechia;Labour inspectorate records;Male;2011;141;;129;5;7;
Czechia;Labour inspectorate records;Female;2011;9;;9;0;0;
Czechia;Labour inspectorate records;Total;2012;112;;104;6;2;
Czechia;Labour inspectorate records;Male;2012;110;;102;6;2;
Czechia;Labour inspectorate records;Female;2012;2;;2;0;0;
Czechia;Labour inspectorate records;Total;2013;114;;104;6;4;
Czechia;Labour inspectorate records;Male;2013;106;;98;6;2;
Czechia;Labour inspectorate records;Female;2013;8;;6;0;2;
Czechia;Labour inspectorate records;Total;2014;120;;107;9;2;2
Czechia;Labour inspectorate records;Male;2014;118;;105;9;2;2
Czechia;Labour inspectorate records;Female;2014;2;;2;0;0;
Czechia;Labour inspectorate records;Total;2015;122;;98;7;4;13
Czechia;Labour inspectorate records;Male;2015;120;;98;7;2;13
Czechia;Labour inspectorate records;Female;2015;2;;0;0;2;
Denmark;Other administrative records and related sources;Total;2010;41;;39;2;0;
Denmark;Other administrative records and related sources;Male;2010;39;;37;2;0;
Denmark;Other administrative records and related sources;Female;2010;2;;2;0;0;
Denmark;Other administrative records and related sources;Total;2011;44;;40;4;0;
Denmark;Other administrative records and related sources;Male;2011;42;;38;4;0;
Denmark;Other administrative records and related sources;Female;2011;2;;2;0;0;
Denmark;Other administrative records and related sources;Total;2012;46;;38;6;2;
Denmark;Other administrative records and related sources;Male;2012;44;;36;6;2;
Denmark;Other administrative records and related sources;Female;2012;2;;2;0;0;
Denmark;Other administrative records and related sources;Total;2013;40;;34;4;2;
Denmark;Other administrative records and related sources;Male;2013;36;;32;2;2;
Denmark;Other administrative records and related sources;Female;2013;4;;2;2;0;
Denmark;Other administrative records and related sources;Total;2014;38;;34;2;0;2
Denmark;Other administrative records and related sources;Male;2014;36;;32;2;0;2
Denmark;Other administrative records and related sources;Female;2014;2;;2;0;0;
Denmark;Other administrative records and related sources;Total;2015;27;;23;2;2;
Denmark;Other administrative records and related sources;Male;2015;25;;21;2;2;
Denmark;Other administrative records and related sources;Female;2015;2;;2;0;0;
Egypt;Establishment survey;Total;2011;223;;;;;
Egypt;Establishment survey;Male;2011;212;;;;;
Egypt;Establishment survey;Female;2011;11;;;;;
Egypt;Establishment survey;Total;2012;208;;;;;
Egypt;Establishment survey;Male;2012;200;;;;;
Egypt;Establishment survey;Female;2012;8;;;;;
Egypt;Establishment survey;Total;2014;210;;;;;
Egypt;Establishment survey;Male;2014;199;;;;;
Egypt;Establishment survey;Female;2014;11;;;;;
El Salvador;Economic or establishment census;Total;2010;96;;;;;
El Salvador;Economic or establishment census;Male;2010;88;;;;;
El Salvador;Economic or establishment census;Female;2010;8;;;;;
Estonia;Labour inspectorate records;Total;2010;18;;13;0;5;
Estonia;Labour inspectorate records;Male;2010;16;;11;0;5;
Estonia;Labour inspectorate records;Female;2010;2;;2;0;0;
Estonia;Labour inspectorate records;Total;2011;19;;15;0;2;2
Estonia;Labour inspectorate records;Male;2011;19;;15;0;2;2
Estonia;Labour inspectorate records;Female;2011;0;;0;0;0;
Estonia;Labour inspectorate records;Total;2012;15;;11;2;2;
Estonia;Labour inspectorate records;Male;2012;13;;9;2;2;
Estonia;Labour inspectorate records;Female;2012;2;;2;0;0;
Estonia;Labour inspectorate records;Total;2013;24;;18;2;2;2
Estonia;Labour inspectorate records;Male;2013;22;;16;2;2;2
Estonia;Labour inspectorate records;Female;2013;2;;2;0;0;
Estonia;Labour inspectorate records;Total;2014;18;;11;2;5;
Estonia;Labour inspectorate records;Male;2014;16;;9;2;5;
Estonia;Labour inspectorate records;Female;2014;2;;2;0;0;
Estonia;Labour inspectorate records;Total;2015;18;;12;2;4;
Estonia;Labour inspectorate records;Male;2015;16;;10;2;4;
Estonia;Labour inspectorate records;Female;2015;2;;2;0;0;
Estonia;Labour inspectorate records;Total;2016;26;;;;;
Estonia;Labour inspectorate records;Male;2016;26;;;;;
Estonia;Labour inspectorate records;Female;2016;0;;;;;
Ethiopia;Records of workers' organizations;Total;2010;46;;;;;
Finland;Other administrative records and related sources;Total;2010;32;;32;0;0;
Finland;Other administrative records and related sources;Male;2010;28;;28;0;0;
Finland;Other administrative records and related sources;Female;2010;4;;4;0;0;
Finland;Other administrative records and related sources;Total;2011;33;;33;0;0;
Finland;Other administrative records and related sources;Male;2011;33;;33;0;0;
Finland;Other administrative records and related sources;Female;2011;0;;0;0;0;
Finland;Other administrative records and related sources;Total;2012;37;;31;4;2;
Finland;Other administrative records and related sources;Male;2012;33;;27;4;2;
Finland;Other administrative records and related sources;Female;2012;4;;4;0;0;
Finland;Other administrative records and related sources;Total;2013;23;;23;0;0;
Finland;Other administrative records and related sources;Male;2013;21;;21;0;0;
Finland;Other administrative records and related sources;Female;2013;2;;2;0;0;
Finland;Other administrative records and related sources;Total;2014;36;;34;2;0;
Finland;Other administrative records and related sources;Male;2014;32;;30;2;0;
Finland;Other administrative records and related sources;Female;2014;4;;4;0;0;
Finland;Other administrative records and related sources;Total;2015;35;;33;0;2;
Finland;Other administrative records and related sources;Male;2015;31;;31;0;0;
Finland;Other administrative records and related sources;Female;2015;4;;2;0;2;
France;Insurance records;Total;2010;557;;477;28;33;19
France;Insurance records;Male;2010;499;;423;26;31;19
France;Insurance records;Female;2010;58;;54;2;2;
France;Insurance records;Total;2011;560;;479;29;30;22
France;Insurance records;Male;2011;519;;442;29;28;20
France;Insurance records;Female;2011;41;;37;0;2;2
France;Insurance records;Total;2012;577;;508;26;24;19
France;Insurance records;Male;2012;536;;473;24;22;17
France;Insurance records;Female;2012;41;;35;2;2;2
France;Insurance records;Total;2013;554;;359;22;27;146
France;Insurance records;Male;2013;502;;324;20;25;133
France;Insurance records;Female;2013;52;;35;2;2;13
France;Insurance records;Total;2014;587;;338;19;15;215
France;Insurance records;Male;2014;530;;312;17;13;188
France;Insurance records;Female;2014;57;;26;2;2;27
France;Insurance records;Total;2015;591;;37;4;6;544
France;Insurance records;Male;2015;536;;35;2;6;493
France;Insurance records;Female;2015;55;;2;2;0;51
French Guiana;Official estimate;Total;2014;0;;;;;
French Guiana;Official estimate;Male;2014;0;;;;;
French Guiana;Official estimate;Female;2014;0;;;;;
Georgia;Other administrative records and related sources;Total;2019;45;;;;;
Georgia;Other administrative records and related sources;Male;2019;45;;;;;
Germany;Insurance records;Total;2010;567;;527;15;11;14
Germany;Insurance records;Male;2010;534;;494;15;11;14
Germany;Insurance records;Female;2010;33;;33;0;0;
Germany;Insurance records;Total;2011;507;;480;7;10;10
Germany;Insurance records;Male;2011;488;;461;7;10;10
Germany;Insurance records;Female;2011;19;;19;0;0;
Germany;Insurance records;Total;2012;518;;485;12;9;12
Germany;Insurance records;Male;2012;475;;446;10;9;10
Germany;Insurance records;Female;2012;43;;39;2;0;2
Germany;Insurance records;Total;2013;444;;402;22;10;10
Germany;Insurance records;Male;2013;426;;384;22;10;10
Germany;Insurance records;Female;2013;18;;18;0;0;
Germany;Insurance records;Total;2014;501;;459;18;12;12
Germany;Insurance records;Male;2014;467;;427;18;10;12
Germany;Insurance records;Female;2014;34;;32;0;2;
Germany;Insurance records;Total;2015;451;;412;16;9;14
Germany;Insurance records;Male;2015;421;;384;16;9;12
Germany;Insurance records;Female;2015;30;;28;0;0;2
Greece;Insurance records;Total;2010;33;;18;0;15;
Greece;Insurance records;Male;2010;29;;16;0;13;
Greece;Insurance records;Female;2010;4;;2;0;2;
Greece;Insurance records;Total;2011;36;;34;0;2;
Greece;Insurance records;Male;2011;36;;34;0;2;
Greece;Insurance records;Female;2011;0;;0;0;0;
Greece;Insurance records;Total;2012;27;;19;2;6;
Greece;Insurance records;Male;2012;27;;19;2;6;
Greece;Insurance records;Female;2012;0;;0;0;0;
Greece;Insurance records;Total;2013;23;;19;2;2;
Greece;Insurance records;Male;2013;23;;19;2;2;
Greece;Insurance records;Female;2013;0;;0;0;0;
Greece;Insurance records;Total;2014;28;;20;0;8;
Greece;Insurance records;Male;2014;26;;18;0;8;
Greece;Insurance records;Female;2014;2;;2;0;0;
Greece;Insurance records;Total;2015;28;;22;0;6;
Greece;Insurance records;Male;2015;28;;22;0;6;
Greece;Insurance records;Female;2015;0;;0;0;0;
Greece;Insurance records;Total;2016;46;;;;;
Greece;Insurance records;Male;2016;39;;;;;
Greece;Insurance records;Female;2016;7;;;;;
Guadeloupe;Other administrative records and related sources;Total;2014;6;;;;;
Guadeloupe;Other administrative records and related sources;Male;2014;4;;;;;
Guadeloupe;Other administrative records and related sources;Female;2014;2;;;;;
Hong Kong, China;Labour inspectorate records;Total;2010;183;;;;;
Hong Kong, China;Labour inspectorate records;Total;2011;191;;;;;
Hong Kong, China;Labour inspectorate records;Total;2012;196;;;;;
Hong Kong, China;Labour inspectorate records;Total;2013;188;;;;;
Hong Kong, China;Labour inspectorate records;Total;2014;210;;;;;
Hong Kong, China;Labour inspectorate records;Total;2015;177;;;;;
Hungary;Labour inspectorate records;Total;2010;101;;97;2;2;
Hungary;Labour inspectorate records;Male;2010;94;;90;2;2;
Hungary;Labour inspectorate records;Female;2010;7;;7;0;0;
Hungary;Labour inspectorate records;Total;2011;82;;80;2;0;
Hungary;Labour inspectorate records;Male;2011;78;;76;2;0;
Hungary;Labour inspectorate records;Female;2011;4;;4;0;0;
Hungary;Labour inspectorate records;Total;2012;67;;63;4;0;
Hungary;Labour inspectorate records;Male;2012;63;;61;2;0;
Hungary;Labour inspectorate records;Female;2012;4;;2;2;0;
Hungary;Labour inspectorate records;Total;2013;56;;56;0;0;
Hungary;Labour inspectorate records;Male;2013;54;;54;0;0;
Hungary;Labour inspectorate records;Female;2013;2;;2;0;0;
Hungary;Labour inspectorate records;Total;2014;82;;80;2;0;
Hungary;Labour inspectorate records;Male;2014;78;;76;2;0;
Hungary;Labour inspectorate records;Female;2014;4;;4;0;0;
Hungary;Labour inspectorate records;Total;2015;86;;86;0;0;
Hungary;Labour inspectorate records;Male;2015;78;;78;0;0;
Hungary;Labour inspectorate records;Female;2015;8;;8;0;0;
Hungary;Labour inspectorate records;Total;2016;80;3;77;;;
Hungary;Labour inspectorate records;Male;2016;76;3;73;;;
Hungary;Labour inspectorate records;Female;2016;4;0;4;;;
Iceland;Other administrative records and related sources;Total;2016;4;0;4;;;
Iceland;Other administrative records and related sources;Male;2016;4;;4;;;
Iceland;Other administrative records and related sources;Female;2016;0;0;0;;;
Ireland;Labour inspectorate records;Total;2010;40;;34;2;2;2
Ireland;Labour inspectorate records;Male;2010;38;;32;2;2;2
Ireland;Labour inspectorate records;Female;2010;2;;2;0;0;
Ireland;Labour inspectorate records;Total;2011;51;;42;7;2;
Ireland;Labour inspectorate records;Male;2011;49;;40;7;2;
Ireland;Labour inspectorate records;Female;2011;2;;2;0;0;
Ireland;Labour inspectorate records;Total;2012;41;;37;2;2;
Ireland;Labour inspectorate records;Male;2012;41;;37;2;2;
Ireland;Labour inspectorate records;Female;2012;0;;0;0;0;
Ireland;Labour inspectorate records;Total;2013;39;;32;5;2;
Ireland;Labour inspectorate records;Male;2013;39;;32;5;2;
Ireland;Labour inspectorate records;Female;2013;0;;0;0;0;
Ireland;Labour inspectorate records;Total;2014;47;;43;2;0;2
Ireland;Labour inspectorate records;Male;2014;45;;41;2;0;2
Ireland;Labour inspectorate records;Female;2014;2;;2;0;0;
Ireland;Labour inspectorate records;Total;2015;48;;46;2;2;
Ireland;Labour inspectorate records;Male;2015;46;;44;2;2;
Ireland;Labour inspectorate records;Female;2015;2;;2;0;0;
Isle of Man;Labour inspectorate records;Total;2016;0;;;;;
Israel;Labour inspectorate records;Total;2010;52;;;;;
Israel;Labour inspectorate records;Male;2010;52;;;;;
Israel;Labour inspectorate records;Female;2010;0;;;;;
Israel;Labour inspectorate records;Total;2011;64;;;;;
Israel;Labour inspectorate records;Male;2011;64;;;;;
Israel;Labour inspectorate records;Female;2011;0;;;;;
Israel;Labour inspectorate records;Total;2012;62;;;;;
Israel;Labour inspectorate records;Male;2012;62;;;;;
Israel;Labour inspectorate records;Female;2012;0;;;;;
Israel;Labour inspectorate records;Total;2014;62;;;;;
Israel;Labour inspectorate records;Male;2014;62;;;;;
Israel;Labour inspectorate records;Female;2014;0;;;;;
Israel;Labour inspectorate records;Total;2015;55;;;;;
Israel;Labour inspectorate records;Male;2015;54;;;;;
Israel;Labour inspectorate records;Female;2015;1;;;;;
Israel;Labour inspectorate records;Total;2016;52;;;;;
Israel;Labour inspectorate records;Male;2016;52;;;;;
Israel;Labour inspectorate records;Total;2017;50;12;38;;;
Israel;Labour inspectorate records;Male;2017;48;12;36;;;
Israel;Labour inspectorate records;Female;2017;2;;2;;;
