Reference area;Source type;Sex;Occupational injuries;Time;Total;Migrants;Non migrants;EU Migrants;Migrants excluding EU;Unknown
Australia;Insurance records;Female;Permanent incapacity;2011;3025;;;;;
Australia;Insurance records;Female;Temporary incapacity;2011;28850;;;;;
Australia;Insurance records;Total;Total;2012;105518;;;;;
Australia;Insurance records;Total;Permanent incapacity;2012;7677;;;;;
Australia;Insurance records;Total;Temporary incapacity;2012;97844;;;;;
Australia;Insurance records;Male;Total;2012;68045;;;;;
Australia;Insurance records;Male;Permanent incapacity;2012;5612;;;;;
Australia;Insurance records;Male;Temporary incapacity;2012;62434;;;;;
Australia;Insurance records;Female;Total;2012;37473;;;;;
Australia;Insurance records;Female;Permanent incapacity;2012;2065;;;;;
Australia;Insurance records;Female;Temporary incapacity;2012;35410;;;;;
Australia;Insurance records;Total;Total;2013;107219;;;;;
Australia;Insurance records;Total;Permanent incapacity;2013;7340;;;;;
Australia;Insurance records;Total;Temporary incapacity;2013;99878;;;;;
Australia;Insurance records;Male;Total;2013;69047;;;;;
Australia;Insurance records;Male;Permanent incapacity;2013;5372;;;;;
Australia;Insurance records;Male;Temporary incapacity;2013;63675;;;;;
Australia;Insurance records;Female;Total;2013;38173;;;;;
Australia;Insurance records;Female;Permanent incapacity;2013;1969;;;;;
Australia;Insurance records;Female;Temporary incapacity;2013;36204;;;;;
Australia;Insurance records;Total;Total;2014;98985;;;;;
Australia;Insurance records;Total;Permanent incapacity;2014;3530;;;;;
Australia;Insurance records;Total;Temporary incapacity;2014;95467;;;;;
Australia;Insurance records;Male;Total;2014;63815;;;;;
Australia;Insurance records;Male;Permanent incapacity;2014;2705;;;;;
Australia;Insurance records;Male;Temporary incapacity;2014;61110;;;;;
Australia;Insurance records;Female;Total;2014;35170;;;;;
Australia;Insurance records;Female;Permanent incapacity;2014;813;;;;;
Australia;Insurance records;Female;Temporary incapacity;2014;34357;;;;;
Australia;Insurance records;Total;Total;2015;110290;;;;;
Australia;Insurance records;Total;Permanent incapacity;2015;8920;;;;;
Australia;Insurance records;Total;Temporary incapacity;2015;101350;;;;;
Australia;Insurance records;Male;Total;2015;70595;;;;;
Australia;Insurance records;Male;Permanent incapacity;2015;6355;;;;;
Australia;Insurance records;Male;Temporary incapacity;2015;64220;;;;;
Australia;Insurance records;Female;Total;2015;39700;;;;;
Australia;Insurance records;Female;Permanent incapacity;2015;2565;;;;;
Australia;Insurance records;Female;Temporary incapacity;2015;37130;;;;;
Australia;Insurance records;Total;Total;2016;104780;;;;;
Australia;Insurance records;Total;Permanent incapacity;2016;4695;;;;;
Australia;Insurance records;Total;Temporary incapacity;2016;100070;;;;;
Australia;Insurance records;Male;Total;2016;67350;;;;;
Australia;Insurance records;Male;Permanent incapacity;2016;3565;;;;;
Australia;Insurance records;Male;Temporary incapacity;2016;63785;;;;;
Australia;Insurance records;Female;Total;2016;37415;;;;;
Australia;Insurance records;Female;Permanent incapacity;2016;1130;;;;;
Australia;Insurance records;Female;Temporary incapacity;2016;36285;;;;;
Australia;Insurance records;Total;Total;2017;106262;;;;;
Australia;Insurance records;Total;Permanent incapacity;2017;4481;;;;;
Australia;Insurance records;Total;Temporary incapacity;2017;101781;;;;;
Australia;Insurance records;Male;Total;2017;68106;;;;;
Australia;Insurance records;Male;Permanent incapacity;2017;3448;;;;;
Australia;Insurance records;Male;Temporary incapacity;2017;64658;;;;;
Australia;Insurance records;Female;Total;2017;38155;;;;;
Australia;Insurance records;Female;Permanent incapacity;2017;1033;;;;;
Australia;Insurance records;Female;Temporary incapacity;2017;37122;;;;;
Austria;Insurance records;Total;Total;2010;78413;;68239;3124;7050;0
Austria;Insurance records;Total;Permanent incapacity;2010;2565;;2155;158;252;0
Austria;Insurance records;Total;Temporary incapacity;2010;75848;;66084;2966;6798;0
Austria;Insurance records;Male;Total;2010;61027;;53142;2389;5496;0
Austria;Insurance records;Male;Permanent incapacity;2010;2013;;1687;122;204;0
Austria;Insurance records;Male;Temporary incapacity;2010;59014;;51455;2267;5292;0
Austria;Insurance records;Female;Total;2010;17386;;15097;735;1554;0
Austria;Insurance records;Female;Permanent incapacity;2010;552;;468;36;48;0
Austria;Insurance records;Female;Temporary incapacity;2010;16834;;14629;699;1506;0
Austria;Insurance records;Total;Total;2011;70434;;59639;3517;7278;0
Austria;Insurance records;Total;Permanent incapacity;2011;816;;584;86;146;0
Austria;Insurance records;Total;Temporary incapacity;2011;69618;;59055;3431;7132;0
Austria;Insurance records;Male;Total;2011;55654;;47058;2844;5752;0
Austria;Insurance records;Male;Permanent incapacity;2011;683;;477;77;129;0
Austria;Insurance records;Male;Temporary incapacity;2011;54971;;46581;2767;5623;0
Austria;Insurance records;Female;Total;2011;14780;;12581;673;1526;0
Austria;Insurance records;Female;Permanent incapacity;2011;133;;107;9;17;0
Austria;Insurance records;Female;Temporary incapacity;2011;14647;;12474;664;1509;0
Austria;Insurance records;Total;Total;2012;67025;;55644;5106;6275;0
Austria;Insurance records;Total;Permanent incapacity;2012;693;;482;84;127;0
Austria;Insurance records;Total;Temporary incapacity;2012;66332;;55162;5022;6148;0
Austria;Insurance records;Male;Total;2012;53029;;43986;4062;4981;0
Austria;Insurance records;Male;Permanent incapacity;2012;592;;404;73;115;0
Austria;Insurance records;Male;Temporary incapacity;2012;52437;;43582;3989;4866;0
Austria;Insurance records;Female;Total;2012;13996;;11658;1044;1294;0
Austria;Insurance records;Female;Permanent incapacity;2012;101;;78;11;12;0
Austria;Insurance records;Female;Temporary incapacity;2012;13895;;11580;1033;1282;0
Austria;Insurance records;Total;Total;2013;64646;;51452;5833;7361;0
Austria;Insurance records;Total;Permanent incapacity;2013;728;;493;117;118;0
Austria;Insurance records;Total;Temporary incapacity;2013;63918;;50959;5716;7243;0
Austria;Insurance records;Male;Total;2013;51275;;40620;4683;5972;0
Austria;Insurance records;Male;Permanent incapacity;2013;613;;402;106;105;0
Austria;Insurance records;Male;Temporary incapacity;2013;50662;;40218;4577;5867;0
Austria;Insurance records;Female;Total;2013;13371;;10832;1150;1389;0
Austria;Insurance records;Female;Permanent incapacity;2013;115;;91;11;13;0
Austria;Insurance records;Female;Temporary incapacity;2013;13256;;10741;1139;1376;0
Austria;Insurance records;Total;Total;2014;65418;;51769;6425;7224;0
Austria;Insurance records;Total;Permanent incapacity;2014;896;;618;151;127;0
Austria;Insurance records;Total;Temporary incapacity;2014;64522;;51151;6274;7097;0
Austria;Insurance records;Male;Total;2014;51352;;40465;5084;5803;0
Austria;Insurance records;Male;Permanent incapacity;2014;751;;515;127;109;0
Austria;Insurance records;Male;Temporary incapacity;2014;50601;;39950;4957;5694;0
Austria;Insurance records;Female;Total;2014;14066;;11304;1341;1421;0
Austria;Insurance records;Female;Permanent incapacity;2014;145;;103;24;18;0
Austria;Insurance records;Female;Temporary incapacity;2014;13921;;11201;1317;1403;0
Austria;Insurance records;Total;Total;2015;61228;;47781;6597;6850;0
Austria;Insurance records;Total;Permanent incapacity;2015;837;;561;144;132;0
Austria;Insurance records;Total;Temporary incapacity;2015;60391;;47220;6453;6718;0
Austria;Insurance records;Male;Total;2015;47876;;37160;5223;5493;0
Austria;Insurance records;Male;Permanent incapacity;2015;717;;477;120;120;0
Austria;Insurance records;Male;Temporary incapacity;2015;47159;;36683;5103;5373;0
Austria;Insurance records;Female;Total;2015;13352;;10621;1374;1357;0
Austria;Insurance records;Female;Permanent incapacity;2015;120;;84;24;12;0
Austria;Insurance records;Female;Temporary incapacity;2015;13232;;10537;1350;1345;0
Austria;Insurance records;Total;Total;2016;58320;;;;;
Austria;Insurance records;Total;Permanent incapacity;2016;4326;;;;;
Austria;Insurance records;Total;Temporary incapacity;2016;53994;;;;;
Austria;Insurance records;Male;Total;2016;46003;;;;;
Austria;Insurance records;Male;Permanent incapacity;2016;3468;;;;;
Austria;Insurance records;Male;Temporary incapacity;2016;42535;;;;;
Austria;Insurance records;Female;Total;2016;12317;;;;;
Austria;Insurance records;Female;Permanent incapacity;2016;858;;;;;
Austria;Insurance records;Female;Temporary incapacity;2016;11459;;;;;
Azerbaijan;Labour inspectorate records;Total;Total;2013;117;;;;;
Azerbaijan;Labour inspectorate records;Male;Total;2013;105;;;;;
Azerbaijan;Labour inspectorate records;Female;Total;2013;12;;;;;
Azerbaijan;Labour inspectorate records;Total;Total;2014;181;;;;;
Azerbaijan;Labour inspectorate records;Male;Total;2014;163;;;;;
Azerbaijan;Labour inspectorate records;Female;Total;2014;18;;;;;
Azerbaijan;Labour inspectorate records;Total;Total;2015;111;;;;;
Azerbaijan;Labour inspectorate records;Male;Total;2015;96;;;;;
Azerbaijan;Labour inspectorate records;Female;Total;2015;15;;;;;
Azerbaijan;Labour inspectorate records;Total;Total;2016;182;;;;;
Azerbaijan;Labour inspectorate records;Male;Total;2016;167;;;;;
Azerbaijan;Labour inspectorate records;Female;Total;2016;15;;;;;
Azerbaijan;Labour inspectorate records;Total;Total;2018;146;;;;;
Azerbaijan;Labour inspectorate records;Male;Total;2018;139;;;;;
Azerbaijan;Labour inspectorate records;Female;Total;2018;7;;;;;
Belarus;Establishment survey;Total;Total;2011;2180;;;;;
Belarus;Establishment survey;Male;Total;2011;1644;;;;;
Belarus;Establishment survey;Female;Total;2011;536;;;;;
Belarus;Establishment survey;Total;Total;2012;1932;;;;;
Belarus;Establishment survey;Male;Total;2012;1412;;;;;
Belarus;Establishment survey;Female;Total;2012;520;;;;;
Belarus;Establishment survey;Total;Total;2013;1860;;;;;
Belarus;Establishment survey;Male;Total;2013;1388;;;;;
Belarus;Establishment survey;Female;Total;2013;472;;;;;
Belarus;Establishment survey;Total;Total;2014;1726;;;;;
Belarus;Establishment survey;Male;Total;2014;1245;;;;;
Belarus;Establishment survey;Female;Total;2014;481;;;;;
Belarus;Establishment survey;Total;Total;2015;1452;;;;;
Belarus;Establishment survey;Male;Total;2015;1045;;;;;
Belarus;Establishment survey;Female;Total;2015;407;;;;;
Belarus;Establishment survey;Total;Total;2016;1398;;;;;
Belarus;Establishment survey;Male;Total;2016;1010;;;;;
Belarus;Establishment survey;Female;Total;2016;388;;;;;
Belarus;Establishment survey;Total;Total;2017;1314;;;;;
Belarus;Establishment survey;Male;Total;2017;972;;;;;
Belarus;Establishment survey;Female;Total;2017;342;;;;;
Belarus;Establishment survey;Total;Total;2018;1575;;;;;
Belarus;Establishment survey;Male;Total;2018;1184;;;;;
Belarus;Establishment survey;Female;Total;2018;391;;;;;
Belarus;Establishment survey;Total;Total;2019;1698;;;;;
Belarus;Establishment survey;Male;Total;2019;1233;;;;;
Belarus;Establishment survey;Female;Total;2019;465;;;;;
Belgium;Insurance records;Total;Total;2010;67243;;59178;5158;2701;206
Belgium;Insurance records;Total;Permanent incapacity;2010;11479;;9988;981;476;34
Belgium;Insurance records;Total;Temporary incapacity;2010;55764;;49190;4177;2225;172
Belgium;Insurance records;Male;Total;2010;49709;;43286;4072;2173;178
Belgium;Insurance records;Male;Permanent incapacity;2010;8699;;7468;795;406;30
Belgium;Insurance records;Male;Temporary incapacity;2010;41010;;35818;3277;1767;148
Belgium;Insurance records;Female;Total;2010;17534;;15892;1086;528;28
Belgium;Insurance records;Female;Permanent incapacity;2010;2780;;2520;186;70;4
Belgium;Insurance records;Female;Temporary incapacity;2010;14754;;13372;900;458;24
Belgium;Insurance records;Total;Total;2011;65023;;56831;4977;2979;236
Belgium;Insurance records;Total;Permanent incapacity;2011;11208;;9685;944;537;42
Belgium;Insurance records;Total;Temporary incapacity;2011;53815;;47146;4033;2442;194
Belgium;Insurance records;Male;Total;2011;48955;;42387;3955;2405;208
Belgium;Insurance records;Male;Permanent incapacity;2011;8657;;7406;774;441;36
Belgium;Insurance records;Male;Temporary incapacity;2011;40298;;34981;3181;1964;172
Belgium;Insurance records;Female;Total;2011;16068;;14444;1022;574;28
Belgium;Insurance records;Female;Permanent incapacity;2011;2551;;2279;170;96;6
Belgium;Insurance records;Female;Temporary incapacity;2011;13517;;12165;852;478;22
Belgium;Insurance records;Total;Total;2012;58416;;50923;4512;2773;208
Belgium;Insurance records;Total;Permanent incapacity;2012;10012;;8678;796;498;40
Belgium;Insurance records;Total;Temporary incapacity;2012;48404;;42245;3716;2275;168
Belgium;Insurance records;Male;Total;2012;43729;;37832;3545;2180;172
Belgium;Insurance records;Male;Permanent incapacity;2012;7787;;6712;642;400;33
Belgium;Insurance records;Male;Temporary incapacity;2012;35942;;31120;2903;1780;139
Belgium;Insurance records;Female;Total;2012;14687;;13091;967;593;36
Belgium;Insurance records;Female;Permanent incapacity;2012;2225;;1966;154;98;7
Belgium;Insurance records;Female;Temporary incapacity;2012;12462;;11125;813;495;29
Belgium;Insurance records;Total;Total;2013;56398;;49063;4448;2691;196
Belgium;Insurance records;Total;Permanent incapacity;2013;10066;;8647;861;517;41
Belgium;Insurance records;Total;Temporary incapacity;2013;46332;;40416;3587;2174;155
Belgium;Insurance records;Male;Total;2013;41444;;35740;3434;2104;166
Belgium;Insurance records;Male;Permanent incapacity;2013;7737;;6596;677;431;33
Belgium;Insurance records;Male;Temporary incapacity;2013;33707;;29144;2757;1673;133
Belgium;Insurance records;Female;Total;2013;14954;;13323;1014;587;30
Belgium;Insurance records;Female;Permanent incapacity;2013;2329;;2051;184;86;8
Belgium;Insurance records;Female;Temporary incapacity;2013;12625;;11272;830;501;22
Belgium;Insurance records;Total;Total;2014;65583;;57639;4589;3127;228
Belgium;Insurance records;Total;Permanent incapacity;2014;9940;;8553;835;507;45
Belgium;Insurance records;Total;Temporary incapacity;2014;55643;;49086;3754;2620;183
Belgium;Insurance records;Male;Total;2014;46812;;40713;3495;2417;187
Belgium;Insurance records;Male;Permanent incapacity;2014;7500;;6415;652;399;34
Belgium;Insurance records;Male;Temporary incapacity;2014;39312;;34298;2843;2018;153
Belgium;Insurance records;Female;Total;2014;18771;;16926;1094;710;41
Belgium;Insurance records;Female;Permanent incapacity;2014;2440;;2138;183;108;11
Belgium;Insurance records;Female;Temporary incapacity;2014;16331;;14788;911;602;30
Belgium;Insurance records;Total;Total;2015;63858;;56076;4385;3175;222
Belgium;Insurance records;Total;Permanent incapacity;2015;10050;;8664;831;524;31
Belgium;Insurance records;Total;Temporary incapacity;2015;53808;;47412;3554;2651;191
Belgium;Insurance records;Male;Total;2015;45333;;39373;3288;2488;184
Belgium;Insurance records;Male;Permanent incapacity;2015;7537;;6427;660;425;25
Belgium;Insurance records;Male;Temporary incapacity;2015;37796;;32946;2628;2063;159
Belgium;Insurance records;Female;Total;2015;18525;;16703;1097;687;38
Belgium;Insurance records;Female;Permanent incapacity;2015;2513;;2237;171;99;6
Belgium;Insurance records;Female;Temporary incapacity;2015;16012;;14466;926;588;32
Belgium;Insurance records;Total;Total;2016;69245;10174;59071;;;
Belgium;Insurance records;Total;Permanent incapacity;2016;11501;1767;9734;;;
Belgium;Insurance records;Total;Temporary incapacity;2016;57744;8407;49337;;;
Belgium;Insurance records;Male;Total;2016;49694;7820;41874;;;
Belgium;Insurance records;Male;Permanent incapacity;2016;8602;1374;7228;;;
Belgium;Insurance records;Male;Temporary incapacity;2016;41092;6446;34646;;;
Belgium;Insurance records;Female;Total;2016;19551;2354;17197;;;
Belgium;Insurance records;Female;Permanent incapacity;2016;2899;393;2506;;;
Belgium;Insurance records;Female;Temporary incapacity;2016;16652;1961;14691;;;
Belize;Establishment or business register;Total;Total;2010;1927;;;;;
Belize;Establishment or business register;Male;Total;2010;1681;;;;;
Belize;Establishment or business register;Female;Total;2010;246;;;;;
Belize;Establishment or business register;Total;Total;2011;1757;;;;;
Belize;Establishment or business register;Total;Permanent incapacity;2011;145;;;;;
Belize;Establishment or business register;Total;Temporary incapacity;2011;1612;;;;;
Belize;Establishment or business register;Male;Total;2011;1577;;;;;
Belize;Establishment or business register;Male;Permanent incapacity;2011;139;;;;;
Belize;Establishment or business register;Male;Temporary incapacity;2011;1438;;;;;
Belize;Establishment or business register;Female;Total;2011;180;;;;;
Belize;Establishment or business register;Female;Permanent incapacity;2011;6;;;;;
Belize;Establishment or business register;Female;Temporary incapacity;2011;174;;;;;
Belize;Establishment or business register;Total;Total;2012;1756;;;;;
Belize;Establishment or business register;Total;Permanent incapacity;2012;88;;;;;
Belize;Establishment or business register;Total;Temporary incapacity;2012;1668;;;;;
Belize;Establishment or business register;Male;Total;2012;1552;;;;;
Belize;Establishment or business register;Male;Permanent incapacity;2012;82;;;;;
Belize;Establishment or business register;Male;Temporary incapacity;2012;1470;;;;;
Belize;Establishment or business register;Female;Total;2012;204;;;;;
Belize;Establishment or business register;Female;Permanent incapacity;2012;6;;;;;
Belize;Establishment or business register;Female;Temporary incapacity;2012;198;;;;;
Brazil;Insurance records;Total;Total;2011;636118;;;;;
Brazil;Insurance records;Total;Permanent incapacity;2011;16658;;;;;
Brazil;Insurance records;Total;Temporary incapacity;2011;619460;;;;;
Brazil;Insurance records;Male;Total;2011;460316;;;;;
Brazil;Insurance records;Male;Permanent incapacity;2011;13438;;;;;
Brazil;Insurance records;Male;Temporary incapacity;2011;446878;;;;;
Brazil;Insurance records;Female;Total;2011;175802;;;;;
Brazil;Insurance records;Female;Permanent incapacity;2011;3220;;;;;
Brazil;Insurance records;Female;Temporary incapacity;2011;172582;;;;;
Bulgaria;Insurance records;Total;Total;2010;2332;;2328;0;4;0
Bulgaria;Insurance records;Total;Permanent incapacity;2010;303;;301;0;2;0
Bulgaria;Insurance records;Total;Temporary incapacity;2010;2029;;2027;0;2;0
Bulgaria;Insurance records;Male;Total;2010;1630;;1626;0;4;0
Bulgaria;Insurance records;Male;Permanent incapacity;2010;224;;222;0;2;0
Bulgaria;Insurance records;Male;Temporary incapacity;2010;1406;;1404;0;2;0
Bulgaria;Insurance records;Female;Total;2010;702;;702;0;0;0
Bulgaria;Insurance records;Female;Permanent incapacity;2010;79;;79;0;0;0
Bulgaria;Insurance records;Female;Temporary incapacity;2010;623;;623;0;0;0
Bulgaria;Insurance records;Total;Total;2011;2259;;2253;4;2;0
Bulgaria;Insurance records;Total;Permanent incapacity;2011;281;;279;2;0;0
Bulgaria;Insurance records;Total;Temporary incapacity;2011;1978;;1974;2;2;0
Bulgaria;Insurance records;Male;Total;2011;1608;;1604;2;2;0
Bulgaria;Insurance records;Male;Permanent incapacity;2011;213;;213;0;0;0
Bulgaria;Insurance records;Male;Temporary incapacity;2011;1395;;1391;2;2;0
Bulgaria;Insurance records;Female;Total;2011;651;;649;2;0;0
Bulgaria;Insurance records;Female;Permanent incapacity;2011;68;;66;2;0;0
Bulgaria;Insurance records;Female;Temporary incapacity;2011;583;;583;0;0;0
Bulgaria;Insurance records;Total;Total;2012;2281;;2275;2;4;0
Bulgaria;Insurance records;Total;Permanent incapacity;2012;268;;266;0;2;0
Bulgaria;Insurance records;Total;Temporary incapacity;2012;2013;;2009;2;2;0
Bulgaria;Insurance records;Male;Total;2012;1599;;1597;0;2;0
Bulgaria;Insurance records;Male;Permanent incapacity;2012;211;;211;0;0;0
Bulgaria;Insurance records;Male;Temporary incapacity;2012;1388;;1386;0;2;0
Bulgaria;Insurance records;Female;Total;2012;682;;678;2;2;0
Bulgaria;Insurance records;Female;Permanent incapacity;2012;57;;55;0;2;0
Bulgaria;Insurance records;Female;Temporary incapacity;2012;625;;623;2;0;0
Bulgaria;Insurance records;Total;Total;2013;2162;;2158;2;2;0
Bulgaria;Insurance records;Total;Permanent incapacity;2013;350;;350;0;0;0
Bulgaria;Insurance records;Total;Temporary incapacity;2013;1812;;1808;2;2;0
Bulgaria;Insurance records;Male;Total;2013;1538;;1534;2;2;0
Bulgaria;Insurance records;Male;Permanent incapacity;2013;282;;282;0;0;0
Bulgaria;Insurance records;Male;Temporary incapacity;2013;1256;;1252;2;2;0
Bulgaria;Insurance records;Female;Total;2013;624;;624;0;0;0
Bulgaria;Insurance records;Female;Permanent incapacity;2013;68;;68;0;0;0
Bulgaria;Insurance records;Female;Temporary incapacity;2013;556;;556;0;0;0
Bulgaria;Insurance records;Total;Total;2014;2247;;2239;4;4;0
Bulgaria;Insurance records;Total;Permanent incapacity;2014;356;;356;0;0;0
Bulgaria;Insurance records;Total;Temporary incapacity;2014;1891;;1883;4;4;0
Bulgaria;Insurance records;Male;Total;2014;1599;;1595;2;2;0
Bulgaria;Insurance records;Male;Permanent incapacity;2014;286;;286;0;0;0
Bulgaria;Insurance records;Male;Temporary incapacity;2014;1313;;1309;2;2;0
Bulgaria;Insurance records;Female;Total;2014;648;;644;2;2;0
Bulgaria;Insurance records;Female;Permanent incapacity;2014;70;;70;0;0;0
Bulgaria;Insurance records;Female;Temporary incapacity;2014;578;;574;2;2;0
Bulgaria;Insurance records;Total;Total;2015;2291;;2287;4;0;0
Bulgaria;Insurance records;Total;Permanent incapacity;2015;346;;346;0;0;0
Bulgaria;Insurance records;Total;Temporary incapacity;2015;1945;;1941;4;0;0
Bulgaria;Insurance records;Male;Total;2015;1614;;1612;2;0;0
Bulgaria;Insurance records;Male;Permanent incapacity;2015;263;;263;0;0;0
Bulgaria;Insurance records;Male;Temporary incapacity;2015;1351;;1349;2;0;0
Bulgaria;Insurance records;Female;Total;2015;677;;675;2;0;0
Bulgaria;Insurance records;Female;Permanent incapacity;2015;83;;83;0;0;0
Bulgaria;Insurance records;Female;Temporary incapacity;2015;594;;592;2;0;0
